metric,group,elasticity
exact_match,single,8.76189296206995
exact_match,few,1.0614133854387668
exact_match,many,
exact_match,few+many,0.5307066927193832
edit_sim,single,9.475706467343535
edit_sim,few,1.1579055113877457
edit_sim,many,
edit_sim,few+many,0.5789527556938727
jaccard_sim,single,9.61134401129207
jaccard_sim,few,2.798271652520385
jaccard_sim,many,
jaccard_sim,few+many,1.3991358262601927
rouge_l,single,9.93323246932227
rouge_l,few,2.8947637784693643
rouge_l,many,
rouge_l,few+many,1.4473818892346817
bleu,single,1.9012870724951685
bleu,few,1.350889763285703
bleu,many,
bleu,few+many,0.6754448816428515
bert_cosine,single,9.782741699013371
bert_cosine,few,5.307066927193835
bert_cosine,many,
bert_cosine,few+many,2.6535334635969163
