metric,group,elasticity
exact_match,single,5.824631279176923
exact_match,few,0.7719370075918304
exact_match,many,
exact_match,few+many,0.3859685037959151
edit_sim,single,6.496688502933704
edit_sim,few,1.929842518979576
edit_sim,many,
edit_sim,few+many,0.9649212594897872
jaccard_sim,single,6.439695171956777
jaccard_sim,few,3.5702086601122165
jaccard_sim,many,
jaccard_sim,few+many,1.7851043300561076
rouge_l,single,6.824573098707936
rouge_l,few,3.0877480303673215
rouge_l,many,
rouge_l,few+many,1.5438740151836603
bleu,single,1.3986841364059064
bleu,few,0.8684291335408092
bleu,many,
bleu,few+many,0.4342145667704045
bert_cosine,single,6.788048450043532
bert_cosine,few,5.210574801244855
bert_cosine,many,
bert_cosine,few+many,2.6052874006224274
