Index,pattern_id,predicate,sup,card_class,pr_quartile,question,answer,model_answer,verdict_exact_match,verdict_edit_sim,verdict_jaccard_sim,verdict_rouge_l,verdict_bleu,verdict_bert_cosine,exact_match,edit_sim,jaccard_sim,rouge_l,bleu,bert_cosine
0,P1,author,19810,single,Q4,"Who is the author of the book ""Reincarnation (novel)""?",Suzanne Weyn,Ryu Murakami,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0,0.0,0.0,0.0,0.1322957426309585
1,P1,author,19810,single,Q4,"Who is the author of the book ""The Mysteries of Udolpho""?",Ann Radcliffe,Ann Radcliffe,correct,correct,correct,correct,hallucination,correct,1,1.0,1.0,1.0,0.316227766016838,0.9999999403953552
2,P1,author,19810,single,Q4,"Who is the author of the book ""I riddarnas spår""?",Margit Sandemo,Viveca Melander,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.2666666666666667,0.0,0.0,0.0,0.2498382627964019
3,P1,author,19810,single,Q4,"Who is the author of the book ""Over Sea, Under Stone""?",Susan Cooper,Robin Hobb,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.25,0.0,0.0,0.0,0.2989507913589477
4,P1,author,19810,single,Q4,"Who is the author of the book ""Venus as a Boy (novella)""?",Luke Sutherland,Mike Carey,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.2666666666666667,0.0,0.0,0.0,0.3021273612976074
5,P1,author,19810,single,Q4,"Who is the author of the book ""Blood, Sweat & Tea""?",Tom Reynolds (EMT),Unsure,unsure,unsure,unsure,unsure,unsure,unsure,0,0.1111111111111111,0.0,0.0,0.0,0.1304676830768585
6,P1,author,19810,single,Q4,"Who is the author of the book ""The Fortunate Pilgrim""?",Mario Puzo,Hiroshi Unno,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.25,0.0,0.0,0.0,0.3515640795230865
7,P1,author,19810,single,Q4,"Who is the author of the book ""Providence: The Story of a Fifty-Year Vision Quest""?",Daniel Quinn,David E. Smith,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.3571428571428571,0.0,0.0,0.0,0.3888830542564392
8,P1,author,19810,single,Q4,"Who is the author of the book ""Tales from the Secret Annex""?",Anne Frank,Anne Frank,correct,correct,correct,correct,hallucination,correct,1,1.0,1.0,1.0,0.316227766016838,1.0000001192092896
9,P1,author,19810,single,Q4,"Who is the author of the book ""A Son of the People""?",Emma Orczy,Edward R. Murrow,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.25,0.0,0.0,0.0,0.1599514633417129
10,P1,author,19810,single,Q4,"Who is the author of the book ""The Men Who Stare at Goats""?",Jon Ronson,Jon Ronson,correct,correct,correct,correct,hallucination,correct,1,1.0,1.0,1.0,0.316227766016838,1.000000238418579
11,P1,author,19810,single,Q4,"Who is the author of the book ""Dream Boy""?",Jim Grimsley,Jonathan Carroll,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.125,0.0,0.0,0.0,0.3907019793987274
12,P1,author,19810,single,Q4,"Who is the author of the book ""Galactic Empires (anthology)""?",Gardner Dozois,Various,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.2857142857142857,0.0,0.0,0.0,0.1467078328132629
13,P1,author,19810,single,Q4,"Who is the author of the book ""Alamut (Bartol novel)""?",Vladimir Bartol,Walter Jon Williams,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1052631578947368,0.0,0.0,0.0,0.3851131796836853
14,P1,author,19810,single,Q4,"Who is the author of the book ""Empress (novel)""?",Shan Sa,Rosamund Hodge,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.2142857142857143,0.0,0.0,0.0,0.2736328840255737
15,P1,author,19810,single,Q4,"Who is the author of the book ""Periwinkle at the Full Moon Ball""?",Geneviève Huriet,Lisa Garrigues,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.125,0.0,0.0,0.0,0.4274670481681824
16,P1,author,19810,single,Q4,"Who is the author of the book ""Hothouse (novel)""?",Brian Aldiss,Ian McEwan,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.25,0.0,0.0,0.0,0.4539370834827423
17,P1,author,19810,single,Q4,"Who is the author of the book ""The Man-eaters of Tsavo""?",John Henry Patterson (author),John Waller Kerby,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.3103448275862068,0.1666666666666666,0.2857142857142857,0.0814136751754278,0.2833825647830963
18,P1,author,19810,single,Q4,"Who is the author of the book ""The Fever Tree""?",Ruth Rendell,F E Lawrence,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0833333333333333,0.0,0.0,0.0,0.2660024762153625
19,P1,author,19810,single,Q4,"Who is the author of the book ""Shepherds of the Night""?",Jorge Amado,Susan Elizabeth Phillips,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0833333333333333,0.0,0.0,0.0,0.1781835854053497
20,P1,author,19810,single,Q4,"Who is the author of the book ""Teen Idol (novel)""?",Meg Cabot,Unsure,unsure,unsure,unsure,unsure,unsure,unsure,0,0.0,0.0,0.0,0.0,0.1438293755054474
21,P1,author,19810,single,Q4,"Who is the author of the book ""After the Bomb (game)  After the Bomb 1st edition  1""?",Erick Wujcik,Unsure,unsure,unsure,unsure,unsure,unsure,unsure,0,0.0833333333333333,0.0,0.0,0.0,0.1798710525035858
22,P1,author,19810,single,Q4,"Who is the author of the book ""Desperate Remedies""?",Thomas Hardy,Charles Dickens,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1999999999999999,0.0,0.0,0.0,0.2374528795480728
23,P1,author,19810,single,Q4,"Who is the author of the book ""Depths (novel)""?",Henning Mankell,John Crowley,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1333333333333333,0.0,0.0,0.0,0.3681199550628662
24,P1,author,19810,single,Q4,"Who is the author of the book ""So Much to Tell You""?",John Marsden (writer),Mary Balogh,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1904761904761904,0.0,0.0,0.0,0.1146345287561416
25,P1,author,19810,single,Q4,"Who is the author of the book ""A Gold Slipper""?",Willa Cather,Ruth Ware,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.25,0.0,0.0,0.0,0.2724145650863647
26,P1,author,19810,single,Q4,"Who is the author of the book ""Citizens: A Chronicle of the French Revolution""?",Simon Schama,Simon Schama,correct,correct,correct,correct,hallucination,correct,1,1.0,1.0,1.0,0.316227766016838,0.9999999403953552
27,P1,author,19810,single,Q4,"Who is the author of the book ""The Reverberator""?",Henry James,James S.A. Corey,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1875,0.25,0.3333333333333333,0.1136219366467499,0.4825561940670013
28,P1,author,19810,single,Q4,"Who is the author of the book ""Haters (novel)""?",Alisa Valdes,Ransom Riggs,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1666666666666666,0.0,0.0,0.0,0.123223103582859
29,P1,author,19810,single,Q4,"Who is the author of the book ""Coronado's Children""?",J. Frank Dobie,Unsure,unsure,unsure,unsure,unsure,unsure,unsure,0,0.1428571428571429,0.0,0.0,0.0,0.1262160539627075
30,P1,author,19810,single,Q4,"Who is the author of the book ""Loose Ends (novel)""?",Greg Cox (writer),Stephen King,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1764705882352941,0.0,0.0,0.0,0.2683694958686828
31,P1,author,19810,single,Q4,"Who is the author of the book ""Tales from the Nightside""?",Charles L. Grant,Tad Williams,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1875,0.0,0.0,0.0,0.3279891908168793
32,P1,author,19810,single,Q4,"Who is the author of the book ""The Good House""?",Tananarive Due,T.J. Klune,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1428571428571429,0.0,0.0,0.0,0.2037376910448074
33,P1,author,19810,single,Q4,"Who is the author of the book ""A Vulgar Display of Power: Courage and Carnage at the Alrosa Villa""?",Chris Armold,Unsure,unsure,unsure,unsure,unsure,unsure,unsure,0,0.1666666666666666,0.0,0.0,0.0,0.1308627426624298
34,P1,author,19810,single,Q4,"Who is the author of the book ""After Henry (book)""?",Joan Didion,Elizabeth Jane Howard,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1428571428571429,0.0,0.0,0.0,0.4924415647983551
35,P1,author,19810,single,Q4,"Who is the author of the book ""The Egyptian""?",Mika Waltari,Mika Waltari,correct,correct,correct,correct,hallucination,correct,1,1.0,1.0,1.0,0.316227766016838,1.0
36,P1,author,19810,single,Q4,"Who is the author of the book ""In Evil Hour""?",Gabriel García Márquez,Stephen King,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0909090909090909,0.0,0.0,0.0,0.3950406908988952
