pattern_id,predicate,sup,card_class,pr_quartile,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,author,19810,few,Q4,2.34375,3.125,4.6875,3.90625,3.125,4.6875,128
P1,author,19810,few,Q3,0.78125,1.5625,3.90625,3.90625,1.5625,7.03125,128
P1,author,19810,few,Q2,1.5625,1.5625,5.46875,3.90625,1.5625,7.03125,128
P1,author,19810,few,Q1,1.5873015873015872,2.380952380952381,2.380952380952381,3.1746031746031744,1.5873015873015872,4.761904761904762,126
P1,author,19810,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P1,author,19810,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P1,author,19810,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P1,author,19810,single,Q4,11.3,13.2,11.5,13.1,1.4,13.2,1000
P1,author,19810,single,Q3,7.8,8.1,8.200000000000001,8.4,1.4,8.3,1000
P1,author,19810,single,Q2,16.3,17.7,17.599999999999998,18.3,2.6,18.1,1000
P1,author,19810,single,Q1,17.1,19.5,18.0,19.9,3.3000000000000003,19.6,1000
P2,illustrator,369,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,illustrator,369,single,Q4,5.434782608695652,5.434782608695652,5.434782608695652,5.434782608695652,0.0,5.434782608695652,92
P2,illustrator,369,single,Q3,7.608695652173914,7.608695652173914,7.608695652173914,7.608695652173914,3.260869565217391,7.608695652173914,92
P2,illustrator,369,single,Q2,8.695652173913043,8.695652173913043,8.695652173913043,8.695652173913043,2.1739130434782608,8.695652173913043,92
P2,illustrator,369,single,Q1,10.989010989010987,13.186813186813188,10.989010989010987,12.087912087912088,2.197802197802198,12.087912087912088,91
P3,coverArtist,294,single,Q4,1.351351351351351,1.351351351351351,1.351351351351351,1.351351351351351,0.0,1.351351351351351,74
P3,coverArtist,294,single,Q3,4.054054054054054,4.054054054054054,4.054054054054054,4.054054054054054,1.351351351351351,4.054054054054054,74
P3,coverArtist,294,single,Q2,1.351351351351351,1.351351351351351,1.351351351351351,1.351351351351351,0.0,1.351351351351351,74
P3,coverArtist,294,single,Q1,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,1.3888888888888888,72
P4,translator,184,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,2
P4,translator,184,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,2
P4,translator,184,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,2
P4,translator,184,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,1
P4,translator,184,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P4,translator,184,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,42
P4,translator,184,single,Q3,2.380952380952381,2.380952380952381,2.380952380952381,2.380952380952381,0.0,2.380952380952381,42
P4,translator,184,single,Q2,0.0,2.380952380952381,4.761904761904762,2.380952380952381,0.0,2.380952380952381,42
P4,translator,184,single,Q1,4.878048780487805,4.878048780487805,4.878048780487805,4.878048780487805,0.0,4.878048780487805,41
P8,publisher,41,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,11
P8,publisher,41,single,Q3,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,0.0,9.090909090909092,11
P8,publisher,41,single,Q2,0.0,0.0,0.0,0.0,0.0,0.0,11
P8,publisher,41,single,Q1,0.0,0.0,0.0,0.0,0.0,0.0,8
