pattern_id,predicate,sup,card_class,pr_quartile,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,author,19810,few,Q4,2.34375,2.34375,3.125,2.34375,2.34375,3.125,128
P1,author,19810,few,Q3,0.78125,2.34375,4.6875,3.125,0.78125,3.90625,128
P1,author,19810,few,Q2,0.0,0.0,7.8125,2.34375,0.0,3.90625,128
P1,author,19810,few,Q1,0.0,0.7936507936507936,3.1746031746031744,0.7936507936507936,0.0,7.142857142857142,126
P1,author,19810,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P1,author,19810,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P1,author,19810,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P1,author,19810,single,Q4,9.8,10.8,10.1,11.0,1.4,11.1,1000
P1,author,19810,single,Q3,6.800000000000001,7.1,7.4,7.3,0.8,7.4,1000
P1,author,19810,single,Q2,14.3,15.3,15.7,15.7,2.1,15.9,1000
P1,author,19810,single,Q1,14.4,15.5,15.4,16.2,2.9000000000000004,16.2,1000
P2,illustrator,369,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,illustrator,369,single,Q4,5.434782608695652,5.434782608695652,5.434782608695652,5.434782608695652,0.0,5.434782608695652,92
P2,illustrator,369,single,Q3,6.521739130434782,6.521739130434782,6.521739130434782,6.521739130434782,2.1739130434782608,6.521739130434782,92
P2,illustrator,369,single,Q2,8.695652173913043,8.695652173913043,9.782608695652174,8.695652173913043,2.1739130434782608,8.695652173913043,92
P2,illustrator,369,single,Q1,17.582417582417584,17.582417582417584,17.582417582417584,17.582417582417584,4.395604395604396,17.582417582417584,91
P3,coverArtist,294,single,Q4,2.702702702702702,2.702702702702702,2.702702702702702,2.702702702702702,0.0,2.702702702702702,74
P3,coverArtist,294,single,Q3,2.702702702702702,2.702702702702702,2.702702702702702,2.702702702702702,0.0,2.702702702702702,74
P3,coverArtist,294,single,Q2,4.054054054054054,4.054054054054054,4.054054054054054,4.054054054054054,0.0,4.054054054054054,74
P3,coverArtist,294,single,Q1,1.3888888888888888,2.7777777777777777,1.3888888888888888,2.7777777777777777,1.3888888888888888,2.7777777777777777,72
P4,translator,184,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,2
P4,translator,184,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,2
P4,translator,184,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,2
P4,translator,184,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,1
P4,translator,184,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P4,translator,184,single,Q4,2.380952380952381,2.380952380952381,2.380952380952381,2.380952380952381,0.0,2.380952380952381,42
P4,translator,184,single,Q3,0.0,0.0,0.0,0.0,0.0,0.0,42
P4,translator,184,single,Q2,0.0,2.380952380952381,2.380952380952381,2.380952380952381,0.0,2.380952380952381,42
P4,translator,184,single,Q1,4.878048780487805,4.878048780487805,4.878048780487805,4.878048780487805,0.0,4.878048780487805,41
P8,publisher,41,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,11
P8,publisher,41,single,Q3,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,0.0,9.090909090909092,11
P8,publisher,41,single,Q2,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,0.0,9.090909090909092,11
P8,publisher,41,single,Q1,0.0,0.0,0.0,0.0,0.0,0.0,8
