pattern_id,predicate,sup,card_class,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,author,19810,few,0.7843137254901961,3.5294117647058822,8.627450980392156,6.862745098039216,0.9803921568627452,13.92156862745098,510
P1,author,19810,many,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,author,19810,single,22.95,26.275,25.825,27.6,4.324999999999999,28.050000000000004,4000
P2,illustrator,369,few,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,illustrator,369,single,13.079019073569482,15.258855585831062,13.896457765667575,15.258855585831062,2.7247956403269753,15.258855585831062,367
P3,coverArtist,294,single,7.482993197278912,7.482993197278912,7.482993197278912,7.482993197278912,1.020408163265306,7.482993197278912,294
P4,translator,184,few,0.0,0.0,0.0,0.0,0.0,0.0,7
P4,translator,184,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P4,translator,184,single,1.7964071856287425,2.3952095808383236,2.3952095808383236,2.3952095808383236,0.0,1.7964071856287425,167
P8,publisher,41,single,4.878048780487805,4.878048780487805,7.317073170731707,4.878048780487805,0.0,4.878048780487805,41
