metric,group,elasticity
exact_match,single,14.266204182409608
exact_match,few,4.438637793653025
exact_match,many,
exact_match,few+many,2.219318896826512
edit_sim,single,15.439379717611112
edit_sim,few,4.728114171499962
edit_sim,many,
edit_sim,few+many,2.36405708574998
jaccard_sim,single,15.71359163500214
jaccard_sim,few,8.10533857971422
jaccard_sim,many,
jaccard_sim,few+many,4.052669289857107
rouge_l,single,16.20907709149323
rouge_l,few,7.4298936980713695
rouge_l,many,
rouge_l,few+many,3.714946849035683
bleu,single,2.979989137926005
bleu,few,4.921098423397919
bleu,many,
bleu,few+many,2.460549211698959
bert_cosine,single,15.783131509495238
bert_cosine,few,15.438740151836608
bert_cosine,many,
bert_cosine,few+many,7.719370075918298
