metric,group,elasticity
exact_match,single,7.5460413021831805
exact_match,few,0.3859685037959152
exact_match,many,
exact_match,few+many,0.1929842518979575
edit_sim,single,8.832110509659444
edit_sim,few,1.7368582670816184
edit_sim,many,
edit_sim,few+many,0.868429133540809
jaccard_sim,single,8.039142033364548
jaccard_sim,few,4.245653541755067
jaccard_sim,many,
jaccard_sim,few+many,2.122826770877533
rouge_l,single,9.383613266688767
rouge_l,few,3.377224408214259
rouge_l,many,
rouge_l,few+many,1.6886122041071283
bleu,single,1.7042671632263229
bleu,few,0.482460629744894
bleu,many,
bleu,few+many,0.2412303148724468
bert_cosine,single,9.627717509257844
bert_cosine,few,6.850940942377496
bert_cosine,many,
bert_cosine,few+many,3.425470471188747
