pattern_id,predicate,sup,card_class,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,author,19810,few,0.392156862745098,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.392156862745098,2.3529411764705883,510
P1,author,19810,many,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,author,19810,single,2.225,2.85,2.65,2.7,0.325,2.9250000000000003,4000
P2,illustrator,369,few,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,illustrator,369,single,1.3623978201634876,1.3623978201634876,1.6348773841961852,1.6348773841961852,0.2724795640326975,1.6348773841961852,367
P3,coverArtist,294,single,0.0,0.0,0.0,0.0,0.0,0.0,294
P4,translator,184,few,0.0,0.0,0.0,0.0,0.0,0.0,7
P4,translator,184,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P4,translator,184,single,0.0,0.0,0.0,0.0,0.0,0.0,167
P8,publisher,41,single,2.4390243902439024,2.4390243902439024,2.4390243902439024,2.4390243902439024,0.0,2.4390243902439024,41
