metric,group,elasticity
exact_match,single,0.2690813478250493
exact_match,few,0.1929842518979576
exact_match,many,
exact_match,few+many,0.0964921259489787
edit_sim,single,0.5292241577445393
edit_sim,few,0.2894763778469364
edit_sim,many,
edit_sim,few+many,0.1447381889234681
jaccard_sim,single,0.4408423183367553
jaccard_sim,few,0.2894763778469364
jaccard_sim,many,
jaccard_sim,few+many,0.1447381889234681
rouge_l,single,0.4616537431303147
rouge_l,few,0.2894763778469364
rouge_l,many,
rouge_l,few+many,0.1447381889234681
bleu,single,0.1301381209245877
bleu,few,0.1929842518979576
bleu,many,
bleu,few+many,0.0964921259489787
bert_cosine,single,0.5553051547013311
bert_cosine,few,1.1579055113877457
bert_cosine,many,
bert_cosine,few+many,0.5789527556938727
