metric,group,elasticity
exact_match,single,0.3954170710776248
exact_match,few,0.0964921259489788
exact_match,many,
exact_match,few+many,0.0482460629744893
edit_sim,single,0.5470552430657395
edit_sim,few,0.0964921259489788
edit_sim,many,
edit_sim,few+many,0.0482460629744893
jaccard_sim,single,0.4474456330615228
jaccard_sim,few,0.3859685037959152
jaccard_sim,many,
jaccard_sim,few+many,0.1929842518979575
rouge_l,single,0.557460955462519
rouge_l,few,0.0964921259489788
rouge_l,many,
rouge_l,few+many,0.0482460629744893
bleu,single,0.0936514115710163
bleu,few,0.0964921259489788
bleu,many,
bleu,few+many,0.0482460629744893
bert_cosine,single,0.557460955462519
bert_cosine,few,0.0964921259489788
bert_cosine,many,
bert_cosine,few+many,0.0482460629744893
