pattern_id,predicate,sup,card_class,pr_quartile,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,author,19810,few,Q4,0.0,0.0,3.125,2.34375,0.78125,3.125,128
P1,author,19810,few,Q3,0.0,0.0,1.5625,3.90625,0.0,3.90625,128
P1,author,19810,few,Q2,0.78125,2.34375,5.46875,6.25,1.5625,5.46875,128
P1,author,19810,few,Q1,0.0,0.0,1.5873015873015872,1.5873015873015872,0.0,4.761904761904762,126
P1,author,19810,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P1,author,19810,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P1,author,19810,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P1,author,19810,single,Q4,13.3,15.6,16.3,16.1,2.1999999999999997,16.900000000000002,1000
P1,author,19810,single,Q3,8.9,10.5,11.0,11.1,1.5,11.8,1000
P1,author,19810,single,Q2,20.4,24.2,24.0,25.9,2.9000000000000004,25.9,1000
P1,author,19810,single,Q1,17.9,21.8,21.3,22.8,3.9,23.6,1000
P2,illustrator,369,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,illustrator,369,single,Q4,8.695652173913043,8.695652173913043,9.782608695652174,9.782608695652174,1.0869565217391304,8.695652173913043,92
P2,illustrator,369,single,Q3,5.434782608695652,7.608695652173914,5.434782608695652,6.521739130434782,2.1739130434782608,7.608695652173914,92
P2,illustrator,369,single,Q2,15.217391304347828,17.391304347826086,17.391304347826086,17.391304347826086,3.260869565217391,18.478260869565215,92
P2,illustrator,369,single,Q1,16.483516483516482,18.68131868131868,17.582417582417584,18.68131868131868,2.197802197802198,18.68131868131868,91
P3,coverArtist,294,single,Q4,4.054054054054054,5.405405405405405,4.054054054054054,5.405405405405405,1.351351351351351,5.405405405405405,74
P3,coverArtist,294,single,Q3,6.756756756756757,6.756756756756757,6.756756756756757,6.756756756756757,1.351351351351351,6.756756756756757,74
P3,coverArtist,294,single,Q2,9.45945945945946,9.45945945945946,9.45945945945946,9.45945945945946,0.0,9.45945945945946,74
P3,coverArtist,294,single,Q1,6.944444444444445,8.333333333333332,6.944444444444445,8.333333333333332,0.0,8.333333333333332,72
P4,translator,184,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,2
P4,translator,184,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,2
P4,translator,184,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,2
P4,translator,184,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,1
P4,translator,184,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P4,translator,184,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,42
P4,translator,184,single,Q3,0.0,0.0,0.0,0.0,0.0,0.0,42
P4,translator,184,single,Q2,0.0,0.0,0.0,0.0,0.0,0.0,42
P4,translator,184,single,Q1,7.317073170731707,7.317073170731707,7.317073170731707,7.317073170731707,0.0,7.317073170731707,41
P8,publisher,41,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,11
P8,publisher,41,single,Q3,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,0.0,9.090909090909092,11
P8,publisher,41,single,Q2,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,0.0,9.090909090909092,11
P8,publisher,41,single,Q1,0.0,12.5,12.5,12.5,0.0,12.5,8
