metric,group,elasticity
exact_match,single,-1.0645586339330726
exact_match,few,-0.0
exact_match,many,-0.0
exact_match,few+many,-0.0
edit_sim,single,-0.7472932876678132
edit_sim,few,0.0176667443069263
edit_sim,many,-0.0
edit_sim,few+many,0.0096514401687352
jaccard_sim,single,0.4669161408564145
jaccard_sim,few,0.9275356003448648
jaccard_sim,many,-0.0
jaccard_sim,few+many,0.448871324178039
rouge_l,single,0.0743621976619217
rouge_l,few,0.7596700051978315
rouge_l,many,-0.0
rouge_l,few+many,0.4150119272556177
bleu,single,0.4126737509751643
bleu,few,0.1943341873761894
bleu,many,-0.0
bleu,few+many,0.1061658418560882
bert_cosine,single,-0.425467131066382
bert_cosine,few,0.2385325723747385
bert_cosine,many,-0.0
bert_cosine,few+many,0.0724651575973626
