pattern_id,predicate,sup,card_class,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,author,19810,few,0.0848896434634974,0.1273344651952462,1.5704584040747027,1.0186757215619695,0.7215619694397283,0.6791171477079796,2356
P1,author,19810,many,0.0,0.0,0.0,0.0,0.0,0.0,14
P1,author,19810,single,3.350515463917526,3.6941580756013743,5.798969072164948,4.725085910652921,2.5773195876288657,3.865979381443299,2328
P2,illustrator,369,few,0.0,0.0,1.639344262295082,0.0,0.0,0.0,61
P2,illustrator,369,many,0.0,0.0,0.0,0.0,0.0,0.0,4
P2,illustrator,369,single,3.571428571428571,3.571428571428571,5.952380952380952,3.571428571428571,2.380952380952381,3.571428571428571,84
P3,coverArtist,294,few,0.0,0.0,0.0,0.0,0.0,0.0,41
P3,coverArtist,294,many,0.0,0.0,0.0,0.0,0.0,0.0,5
P3,coverArtist,294,single,5.88235294117647,5.88235294117647,5.88235294117647,5.88235294117647,1.96078431372549,5.88235294117647,51
P4,translator,184,few,0.0,0.0,0.0,0.0,0.0,0.0,26
P4,translator,184,many,0.0,0.0,0.0,0.0,0.0,0.0,2
P4,translator,184,single,0.0,0.0,0.0,0.0,0.0,0.0,61
P8,publisher,41,few,0.0,0.0,0.0,0.0,0.0,0.0,9
P8,publisher,41,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P8,publisher,41,single,0.0,0.0,0.0,0.0,0.0,0.0,13
