pattern_id,predicate,sup,card_class,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,author,19810,few,0.0,0.0,0.8913412563667233,0.5093378607809848,0.1273344651952462,0.4668930390492359,2356
P1,author,19810,many,0.0,0.0,0.0,0.0,0.0,0.0,14
P1,author,19810,single,2.9639175257731956,3.221649484536082,4.68213058419244,3.994845360824742,2.3625429553264605,3.393470790378007,2328
P2,illustrator,369,few,0.0,0.0,3.278688524590164,0.0,0.0,1.639344262295082,61
P2,illustrator,369,many,0.0,0.0,0.0,0.0,0.0,0.0,4
P2,illustrator,369,single,2.380952380952381,2.380952380952381,3.571428571428571,2.380952380952381,2.380952380952381,2.380952380952381,84
P3,coverArtist,294,few,0.0,0.0,0.0,0.0,0.0,0.0,41
P3,coverArtist,294,many,0.0,0.0,0.0,0.0,0.0,0.0,5
P3,coverArtist,294,single,5.88235294117647,5.88235294117647,5.88235294117647,5.88235294117647,1.96078431372549,5.88235294117647,51
P4,translator,184,few,0.0,0.0,0.0,0.0,0.0,0.0,26
P4,translator,184,many,0.0,0.0,0.0,0.0,0.0,0.0,2
P4,translator,184,single,0.0,0.0,0.0,0.0,0.0,1.639344262295082,61
P8,publisher,41,few,0.0,0.0,0.0,0.0,0.0,0.0,9
P8,publisher,41,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P8,publisher,41,single,0.0,0.0,7.6923076923076925,7.6923076923076925,0.0,7.6923076923076925,13
