pattern_id,predicate,sup,card_class,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,author,19810,few,0.0848896434634974,0.2546689303904924,2.631578947368421,2.037351443123939,0.6366723259762309,1.7826825127334467,2356
P1,author,19810,many,0.0,0.0,0.0,0.0,0.0,0.0,14
P1,author,19810,single,5.283505154639175,8.891752577319588,8.97766323024055,12.328178694158076,5.541237113402062,11.082474226804123,2328
P2,illustrator,369,few,0.0,0.0,3.278688524590164,0.0,0.0,0.0,61
P2,illustrator,369,many,0.0,0.0,0.0,0.0,0.0,0.0,4
P2,illustrator,369,single,5.952380952380952,5.952380952380952,10.714285714285714,9.523809523809524,4.761904761904762,8.333333333333332,84
P3,coverArtist,294,few,0.0,0.0,4.878048780487805,2.4390243902439024,0.0,0.0,41
P3,coverArtist,294,many,0.0,0.0,0.0,0.0,0.0,0.0,5
P3,coverArtist,294,single,0.0,0.0,0.0,0.0,0.0,0.0,51
P4,translator,184,few,0.0,0.0,0.0,0.0,0.0,0.0,26
P4,translator,184,many,0.0,0.0,0.0,0.0,0.0,0.0,2
P4,translator,184,single,0.0,0.0,0.0,0.0,0.0,0.0,61
P8,publisher,41,few,0.0,0.0,0.0,0.0,0.0,0.0,9
P8,publisher,41,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P8,publisher,41,single,0.0,0.0,7.6923076923076925,7.6923076923076925,0.0,7.6923076923076925,13
