pattern_id,predicate,sup,card_class,pr_quartile,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,author,19810,few,Q4,0.5093378607809848,1.3582342954159592,6.281833616298811,4.584040747028863,2.5466893039049237,4.4142614601018675,589
P1,author,19810,few,Q3,0.3395585738539898,0.5093378607809848,9.507640067911714,6.112054329371817,3.0560271646859083,6.281833616298811,589
P1,author,19810,few,Q2,0.3395585738539898,0.6791171477079796,5.602716468590832,3.735144312393888,1.0186757215619695,3.5653650254668934,589
P1,author,19810,few,Q1,0.0,0.0,2.886247877758913,1.0186757215619695,0.6791171477079796,2.2071307300509337,589
P1,author,19810,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,4
P1,author,19810,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,4
P1,author,19810,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,4
P1,author,19810,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,2
P1,author,19810,single,Q4,14.948453608247425,15.63573883161512,20.446735395189,20.27491408934708,12.54295532646048,17.525773195876287,582
P1,author,19810,single,Q3,15.807560137457044,16.49484536082474,19.93127147766323,19.41580756013746,11.855670103092782,18.213058419243985,582
P1,author,19810,single,Q2,18.384879725085913,19.93127147766323,26.46048109965636,24.22680412371134,15.979381443298967,21.8213058419244,582
P1,author,19810,single,Q1,24.22680412371134,26.288659793814436,33.84879725085911,31.27147766323024,19.759450171821307,29.037800687285227,582
P2,illustrator,369,few,Q4,0.0,0.0,6.25,0.0,0.0,0.0,16
P2,illustrator,369,few,Q3,0.0,0.0,6.25,0.0,0.0,12.5,16
P2,illustrator,369,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,16
P2,illustrator,369,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,13
P2,illustrator,369,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,illustrator,369,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,illustrator,369,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,illustrator,369,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,illustrator,369,single,Q4,14.285714285714285,14.285714285714285,19.047619047619047,19.047619047619047,9.523809523809524,19.047619047619047,21
P2,illustrator,369,single,Q3,19.047619047619047,19.047619047619047,28.57142857142857,28.57142857142857,19.047619047619047,23.809523809523807,21
P2,illustrator,369,single,Q2,38.095238095238095,38.095238095238095,38.095238095238095,38.095238095238095,33.33333333333333,38.095238095238095,21
P2,illustrator,369,single,Q1,9.523809523809524,9.523809523809524,19.047619047619047,14.285714285714285,14.285714285714285,9.523809523809524,21
P3,coverArtist,294,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,11
P3,coverArtist,294,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,11
P3,coverArtist,294,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,11
P3,coverArtist,294,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,8
P3,coverArtist,294,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,2
P3,coverArtist,294,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,2
P3,coverArtist,294,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P3,coverArtist,294,single,Q4,15.384615384615383,15.384615384615383,15.384615384615383,15.384615384615383,7.6923076923076925,15.384615384615383,13
P3,coverArtist,294,single,Q3,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,13
P3,coverArtist,294,single,Q2,15.384615384615383,15.384615384615383,15.384615384615383,15.384615384615383,7.6923076923076925,15.384615384615383,13
P3,coverArtist,294,single,Q1,0.0,0.0,8.333333333333332,0.0,0.0,0.0,12
P4,translator,184,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,7
P4,translator,184,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,7
P4,translator,184,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,7
P4,translator,184,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,5
P4,translator,184,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P4,translator,184,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P4,translator,184,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,16
P4,translator,184,single,Q3,0.0,0.0,0.0,0.0,0.0,0.0,16
P4,translator,184,single,Q2,6.25,6.25,6.25,6.25,6.25,6.25,16
P4,translator,184,single,Q1,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,13
P8,publisher,41,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,3
P8,publisher,41,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,3
P8,publisher,41,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,3
P8,publisher,41,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P8,publisher,41,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,4
P8,publisher,41,single,Q3,25.0,25.0,25.0,25.0,0.0,25.0,4
P8,publisher,41,single,Q2,25.0,25.0,25.0,25.0,25.0,25.0,4
P8,publisher,41,single,Q1,0.0,0.0,0.0,0.0,0.0,0.0,1
