pattern_id,predicate,sup,card_class,pr_quartile,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,author,19810,few,Q4,0.1697792869269949,0.1697792869269949,2.5466893039049237,1.867572156196944,0.8488964346349746,1.867572156196944,589
P1,author,19810,few,Q3,0.3395585738539898,0.5093378607809848,3.904923599320883,3.0560271646859083,1.697792869269949,2.886247877758913,589
P1,author,19810,few,Q2,0.0,0.1697792869269949,3.225806451612903,1.867572156196944,1.0186757215619695,2.2071307300509337,589
P1,author,19810,few,Q1,0.0,0.0,1.867572156196944,1.0186757215619695,0.0,0.8488964346349746,589
P1,author,19810,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,4
P1,author,19810,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,4
P1,author,19810,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,4
P1,author,19810,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,2
P1,author,19810,single,Q4,3.7800687285223367,7.388316151202749,9.450171821305842,10.652920962199312,5.670103092783505,8.419243986254296,582
P1,author,19810,single,Q3,6.701030927835052,9.793814432989691,10.652920962199312,11.855670103092782,5.670103092783505,10.481099656357388,582
P1,author,19810,single,Q2,7.388316151202749,13.058419243986256,13.917525773195877,16.151202749140893,7.903780068728522,13.402061855670103,582
P1,author,19810,single,Q1,8.419243986254296,14.7766323024055,15.807560137457044,18.556701030927837,8.762886597938143,17.18213058419244,582
P2,illustrator,369,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,16
P2,illustrator,369,few,Q3,0.0,0.0,6.25,6.25,6.25,6.25,16
P2,illustrator,369,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,16
P2,illustrator,369,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,13
P2,illustrator,369,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,illustrator,369,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,illustrator,369,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,illustrator,369,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,illustrator,369,single,Q4,0.0,4.761904761904762,4.761904761904762,4.761904761904762,0.0,4.761904761904762,21
P2,illustrator,369,single,Q3,0.0,4.761904761904762,4.761904761904762,9.523809523809524,0.0,9.523809523809524,21
P2,illustrator,369,single,Q2,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285,9.523809523809524,14.285714285714285,21
P2,illustrator,369,single,Q1,0.0,4.761904761904762,9.523809523809524,4.761904761904762,0.0,4.761904761904762,21
P3,coverArtist,294,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,11
P3,coverArtist,294,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,11
P3,coverArtist,294,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,11
P3,coverArtist,294,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,8
P3,coverArtist,294,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,2
P3,coverArtist,294,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,2
P3,coverArtist,294,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P3,coverArtist,294,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,13
P3,coverArtist,294,single,Q3,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,13
P3,coverArtist,294,single,Q2,7.6923076923076925,7.6923076923076925,7.6923076923076925,15.384615384615383,0.0,7.6923076923076925,13
P3,coverArtist,294,single,Q1,0.0,0.0,0.0,0.0,0.0,0.0,12
P4,translator,184,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,7
P4,translator,184,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,7
P4,translator,184,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,7
P4,translator,184,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,5
P4,translator,184,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P4,translator,184,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P4,translator,184,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,16
P4,translator,184,single,Q3,0.0,0.0,0.0,0.0,0.0,0.0,16
P4,translator,184,single,Q2,0.0,0.0,0.0,0.0,0.0,0.0,16
P4,translator,184,single,Q1,0.0,0.0,0.0,0.0,0.0,0.0,13
P8,publisher,41,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,3
P8,publisher,41,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,3
P8,publisher,41,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,3
P8,publisher,41,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P8,publisher,41,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,4
P8,publisher,41,single,Q3,0.0,0.0,0.0,0.0,0.0,0.0,4
P8,publisher,41,single,Q2,0.0,0.0,0.0,0.0,0.0,0.0,4
P8,publisher,41,single,Q1,0.0,0.0,0.0,0.0,0.0,0.0,1
