metric,group,elasticity
exact_match,single,2.582577725965262
exact_match,few,0.0530002329207789
exact_match,many,-0.0
exact_match,few+many,0.0289543205062058
edit_sim,single,4.464093772720728
edit_sim,few,0.0883337215346315
edit_sim,many,-0.0
edit_sim,few+many,0.0482572008436764
jaccard_sim,single,4.856647715915221
jaccard_sim,few,1.1704375724494849
jaccard_sim,many,-0.0
jaccard_sim,few+many,0.6104932688384311
rouge_l,single,5.6254546455741945
rouge_l,few,0.7817691976971061
rouge_l,many,-0.0
rouge_l,few+many,0.3981615851262549
bleu,single,2.8694345578182325
bleu,few,0.3401005900239482
bleu,many,-0.0
bleu,few+many,0.1568755809078724
bert_cosine,single,4.9065137354421005
bert_cosine,few,0.7817691976971061
bert_cosine,many,-0.0
bert_cosine,few+many,0.3981615851262549
