predicate,freq,Cardinality Class,PR_quartile,n_ow,OW accuracy,OW hallucination,OW unsure,n_sw,SW accuracy,SW hallucination,SW unsure,n_total,Total accuracy,Total hallucination,Total unsure
author,19810,few,Q4,589,1.7,92.87,5.43,128,4.69,92.19,3.12,717,2.23,92.75,5.02
author,19810,few,Q3,589,4.41,92.7,2.89,128,11.72,84.38,3.91,717,5.72,91.21,3.07
author,19810,few,Q2,589,3.74,94.06,2.21,128,12.5,87.5,0.0,717,5.3,92.89,1.81
author,19810,few,Q1,589,1.53,97.28,1.19,126,14.29,84.92,0.79,715,3.78,95.1,1.12
author,19810,many,Q4,4,0.0,100.0,0.0,1,0.0,100.0,0.0,5,0.0,100.0,0.0
author,19810,many,Q3,4,0.0,100.0,0.0,1,0.0,100.0,0.0,5,0.0,100.0,0.0
author,19810,many,Q2,4,0.0,100.0,0.0,1,0.0,100.0,0.0,5,0.0,100.0,0.0
author,19810,many,Q1,2,0.0,100.0,0.0,0,0.0,0.0,0.0,2,0.0,100.0,0.0
author,19810,single,Q4,582,8.42,90.89,0.69,1000,28.1,71.3,0.6,1582,20.86,78.51,0.63
author,19810,single,Q3,582,5.67,92.78,1.55,1000,18.6,80.0,1.4,1582,13.84,84.7,1.45
author,19810,single,Q2,582,13.06,86.6,0.34,1000,34.4,64.6,1.0,1582,26.55,72.69,0.76
author,19810,single,Q1,582,17.53,81.62,0.86,1000,31.7,67.1,1.2,1582,26.49,72.44,1.07
coverArtist,294,few,Q4,11,0.0,45.45,54.55,0,0.0,0.0,0.0,11,0.0,45.45,54.55
coverArtist,294,few,Q3,11,0.0,45.45,54.55,0,0.0,0.0,0.0,11,0.0,45.45,54.55
coverArtist,294,few,Q2,11,0.0,72.73,27.27,0,0.0,0.0,0.0,11,0.0,72.73,27.27
coverArtist,294,few,Q1,8,0.0,75.0,25.0,0,0.0,0.0,0.0,8,0.0,75.0,25.0
coverArtist,294,many,Q4,2,0.0,50.0,50.0,0,0.0,0.0,0.0,2,0.0,50.0,50.0
coverArtist,294,many,Q3,2,0.0,50.0,50.0,0,0.0,0.0,0.0,2,0.0,50.0,50.0
coverArtist,294,many,Q2,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
coverArtist,294,single,Q4,13,0.0,84.62,15.38,74,1.35,47.3,51.35,87,1.15,52.87,45.98
coverArtist,294,single,Q3,13,0.0,92.31,7.69,74,5.41,48.65,45.95,87,4.6,55.17,40.23
coverArtist,294,single,Q2,13,23.08,61.54,15.38,74,2.7,63.51,33.78,87,5.75,63.22,31.03
coverArtist,294,single,Q1,12,0.0,58.33,41.67,72,8.33,56.94,34.72,84,7.14,57.14,35.71
illustrator,369,few,Q4,16,0.0,100.0,0.0,1,0.0,100.0,0.0,17,0.0,100.0,0.0
illustrator,369,few,Q3,16,12.5,87.5,0.0,0,0.0,0.0,0.0,16,12.5,87.5,0.0
illustrator,369,few,Q2,16,0.0,100.0,0.0,0,0.0,0.0,0.0,16,0.0,100.0,0.0
illustrator,369,few,Q1,13,0.0,92.31,7.69,0,0.0,0.0,0.0,13,0.0,92.31,7.69
illustrator,369,many,Q4,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
illustrator,369,many,Q3,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
illustrator,369,many,Q2,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
illustrator,369,many,Q1,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
illustrator,369,single,Q4,21,0.0,100.0,0.0,92,7.61,78.26,14.13,113,6.19,82.3,11.5
illustrator,369,single,Q3,21,9.52,90.48,0.0,92,14.13,73.91,11.96,113,13.27,76.99,9.73
illustrator,369,single,Q2,21,23.81,76.19,0.0,92,20.65,64.13,15.22,113,21.24,66.37,12.39
illustrator,369,single,Q1,21,4.76,90.48,4.76,91,27.47,58.24,14.29,112,23.21,64.29,12.5
publisher,41,few,Q4,3,0.0,33.33,66.67,0,0.0,0.0,0.0,3,0.0,33.33,66.67
publisher,41,few,Q3,3,0.0,33.33,66.67,0,0.0,0.0,0.0,3,0.0,33.33,66.67
publisher,41,few,Q2,3,0.0,66.67,33.33,0,0.0,0.0,0.0,3,0.0,66.67,33.33
publisher,41,many,Q4,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
publisher,41,single,Q4,4,0.0,100.0,0.0,11,0.0,72.73,27.27,15,0.0,80.0,20.0
publisher,41,single,Q3,4,25.0,75.0,0.0,11,9.09,45.45,45.45,15,13.33,53.33,33.33
publisher,41,single,Q2,4,25.0,75.0,0.0,11,0.0,45.45,54.55,15,6.67,53.33,40.0
publisher,41,single,Q1,1,0.0,0.0,100.0,8,12.5,50.0,37.5,9,11.11,44.44,44.44
translator,184,few,Q4,7,0.0,100.0,0.0,2,0.0,0.0,100.0,9,0.0,77.78,22.22
translator,184,few,Q3,7,0.0,85.71,14.29,2,0.0,0.0,100.0,9,0.0,66.67,33.33
translator,184,few,Q2,7,0.0,100.0,0.0,2,0.0,50.0,50.0,9,0.0,88.89,11.11
translator,184,few,Q1,5,0.0,80.0,20.0,1,0.0,0.0,100.0,6,0.0,66.67,33.33
translator,184,many,Q4,1,0.0,100.0,0.0,1,0.0,0.0,100.0,2,0.0,50.0,50.0
translator,184,many,Q3,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
translator,184,single,Q4,16,0.0,100.0,0.0,42,2.38,59.52,38.1,58,1.72,70.69,27.59
translator,184,single,Q3,16,6.25,93.75,0.0,42,0.0,54.76,45.24,58,1.72,65.52,32.76
translator,184,single,Q2,16,6.25,93.75,0.0,42,0.0,76.19,23.81,58,1.72,81.03,17.24
translator,184,single,Q1,13,7.69,92.31,0.0,41,4.88,51.22,43.9,54,5.56,61.11,33.33
ALL,-,total,-,5056,6.82,90.64,2.53,5391,23.47,70.75,5.79,10447,15.41,80.38,4.21
