predicate,freq,Cardinality Class,PR_quartile,n_ow,OW accuracy,OW hallucination,OW unsure,n_sw,SW accuracy,SW hallucination,SW unsure,n_total,Total accuracy,Total hallucination,Total unsure
author,19810,few,Q4,589,0.34,91.34,8.32,128,4.69,79.69,15.62,717,1.12,89.26,9.62
author,19810,few,Q3,589,1.19,92.87,5.94,128,7.03,78.12,14.84,717,2.23,90.24,7.53
author,19810,few,Q2,589,0.85,94.06,5.09,128,7.03,78.91,14.06,717,1.95,91.35,6.69
author,19810,few,Q1,589,0.34,98.3,1.36,126,4.76,77.78,17.46,715,1.12,94.69,4.2
author,19810,many,Q4,4,0.0,100.0,0.0,1,0.0,100.0,0.0,5,0.0,100.0,0.0
author,19810,many,Q3,4,0.0,100.0,0.0,1,0.0,100.0,0.0,5,0.0,100.0,0.0
author,19810,many,Q2,4,0.0,100.0,0.0,1,0.0,100.0,0.0,5,0.0,100.0,0.0
author,19810,many,Q1,2,0.0,100.0,0.0,0,0.0,0.0,0.0,2,0.0,100.0,0.0
author,19810,single,Q4,582,2.41,95.19,2.41,1000,13.2,75.2,11.6,1582,9.23,82.55,8.22
author,19810,single,Q3,582,1.37,97.08,1.55,1000,8.3,77.8,13.9,1582,5.75,84.89,9.36
author,19810,single,Q2,582,4.47,93.99,1.55,1000,18.1,71.3,10.6,1582,13.08,79.65,7.27
author,19810,single,Q1,582,7.22,89.69,3.09,1000,19.6,70.0,10.4,1582,15.04,77.24,7.71
coverArtist,294,few,Q4,11,0.0,100.0,0.0,0,0.0,0.0,0.0,11,0.0,100.0,0.0
coverArtist,294,few,Q3,11,0.0,90.91,9.09,0,0.0,0.0,0.0,11,0.0,90.91,9.09
coverArtist,294,few,Q2,11,0.0,100.0,0.0,0,0.0,0.0,0.0,11,0.0,100.0,0.0
coverArtist,294,few,Q1,8,0.0,100.0,0.0,0,0.0,0.0,0.0,8,0.0,100.0,0.0
coverArtist,294,many,Q4,2,0.0,50.0,50.0,0,0.0,0.0,0.0,2,0.0,50.0,50.0
coverArtist,294,many,Q3,2,0.0,100.0,0.0,0,0.0,0.0,0.0,2,0.0,100.0,0.0
coverArtist,294,many,Q2,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
coverArtist,294,single,Q4,13,0.0,92.31,7.69,74,1.35,68.92,29.73,87,1.15,72.41,26.44
coverArtist,294,single,Q3,13,0.0,92.31,7.69,74,4.05,70.27,25.68,87,3.45,73.56,22.99
coverArtist,294,single,Q2,13,23.08,69.23,7.69,74,1.35,66.22,32.43,87,4.6,66.67,28.74
coverArtist,294,single,Q1,12,0.0,100.0,0.0,72,1.39,70.83,27.78,84,1.19,75.0,23.81
illustrator,369,few,Q4,16,0.0,100.0,0.0,1,0.0,0.0,100.0,17,0.0,94.12,5.88
illustrator,369,few,Q3,16,0.0,100.0,0.0,0,0.0,0.0,0.0,16,0.0,100.0,0.0
