predicate,freq,Cardinality Class,PR_quartile,n_ow,OW accuracy,OW hallucination,OW unsure,n_sw,SW accuracy,SW hallucination,SW unsure,n_total,Total accuracy,Total hallucination,Total unsure
author,19810,few,Q4,589,5.43,93.55,1.02,128,18.75,81.25,0.0,717,7.81,91.35,0.84
author,19810,few,Q3,589,9.0,90.15,0.85,128,27.34,72.66,0.0,717,12.27,87.03,0.7
author,19810,few,Q2,589,7.13,92.53,0.34,128,39.84,60.16,0.0,717,12.97,86.75,0.28
author,19810,few,Q1,589,1.7,98.3,0.0,126,39.68,60.32,0.0,715,8.39,91.61,0.0
author,19810,many,Q4,4,0.0,100.0,0.0,1,0.0,100.0,0.0,5,0.0,100.0,0.0
author,19810,many,Q3,4,0.0,100.0,0.0,1,0.0,100.0,0.0,5,0.0,100.0,0.0
author,19810,many,Q2,4,0.0,100.0,0.0,1,0.0,100.0,0.0,5,0.0,100.0,0.0
author,19810,many,Q1,2,0.0,100.0,0.0,0,0.0,0.0,0.0,2,0.0,100.0,0.0
author,19810,single,Q4,582,20.45,79.55,0.0,1000,47.1,52.9,0.0,1582,37.29,62.71,0.0
author,19810,single,Q3,582,18.21,81.62,0.17,1000,31.1,68.9,0.0,1582,26.36,73.58,0.06
author,19810,single,Q2,582,26.98,73.02,0.0,1000,52.5,47.5,0.0,1582,43.11,56.89,0.0
author,19810,single,Q1,582,30.93,69.07,0.0,1000,48.0,52.0,0.0,1582,41.72,58.28,0.0
coverArtist,294,few,Q4,11,0.0,100.0,0.0,0,0.0,0.0,0.0,11,0.0,100.0,0.0
coverArtist,294,few,Q3,11,0.0,100.0,0.0,0,0.0,0.0,0.0,11,0.0,100.0,0.0
coverArtist,294,few,Q2,11,0.0,100.0,0.0,0,0.0,0.0,0.0,11,0.0,100.0,0.0
coverArtist,294,few,Q1,8,0.0,100.0,0.0,0,0.0,0.0,0.0,8,0.0,100.0,0.0
coverArtist,294,many,Q4,2,0.0,100.0,0.0,0,0.0,0.0,0.0,2,0.0,100.0,0.0
coverArtist,294,many,Q3,2,0.0,100.0,0.0,0,0.0,0.0,0.0,2,0.0,100.0,0.0
coverArtist,294,many,Q2,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
coverArtist,294,single,Q4,13,15.38,84.62,0.0,74,6.76,91.89,1.35,87,8.05,90.8,1.15
coverArtist,294,single,Q3,13,7.69,92.31,0.0,74,10.81,87.84,1.35,87,10.34,88.51,1.15
coverArtist,294,single,Q2,13,30.77,69.23,0.0,74,9.46,90.54,0.0,87,12.64,87.36,0.0
coverArtist,294,single,Q1,12,0.0,100.0,0.0,72,11.11,88.89,0.0,84,9.52,90.48,0.0
illustrator,369,few,Q4,16,0.0,100.0,0.0,1,0.0,100.0,0.0,17,0.0,100.0,0.0
illustrator,369,few,Q3,16,12.5,87.5,0.0,0,0.0,0.0,0.0,16,12.5,87.5,0.0
illustrator,369,few,Q2,16,6.25,93.75,0.0,0,0.0,0.0,0.0,16,6.25,93.75,0.0
illustrator,369,few,Q1,13,0.0,100.0,0.0,0,0.0,0.0,0.0,13,0.0,100.0,0.0
illustrator,369,many,Q4,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
illustrator,369,many,Q3,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
illustrator,369,many,Q2,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
illustrator,369,many,Q1,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
illustrator,369,single,Q4,21,19.05,80.95,0.0,92,18.48,81.52,0.0,113,18.58,81.42,0.0
illustrator,369,single,Q3,21,14.29,85.71,0.0,92,22.83,77.17,0.0,113,21.24,78.76,0.0
illustrator,369,single,Q2,21,38.1,61.9,0.0,92,33.7,66.3,0.0,113,34.51,65.49,0.0
