predicate,freq,Cardinality Class,PR_quartile,n_ow,OW accuracy,OW hallucination,OW unsure,n_sw,SW accuracy,SW hallucination,SW unsure,n_total,Total accuracy,Total hallucination,Total unsure
author,19810,few,Q4,589,4.41,95.59,0.0,128,9.38,88.28,2.34,717,5.3,94.28,0.42
author,19810,few,Q3,589,6.28,93.72,0.0,128,19.53,77.34,3.12,717,8.65,90.79,0.56
author,19810,few,Q2,589,3.57,96.43,0.0,128,25.0,74.22,0.78,717,7.39,92.47,0.14
author,19810,few,Q1,589,2.21,97.79,0.0,126,22.22,74.6,3.17,715,5.73,93.71,0.56
author,19810,many,Q4,4,0.0,100.0,0.0,1,0.0,100.0,0.0,5,0.0,100.0,0.0
author,19810,many,Q3,4,0.0,100.0,0.0,1,0.0,100.0,0.0,5,0.0,100.0,0.0
author,19810,many,Q2,4,0.0,100.0,0.0,1,0.0,100.0,0.0,5,0.0,100.0,0.0
author,19810,many,Q1,2,0.0,100.0,0.0,0,0.0,0.0,0.0,2,0.0,100.0,0.0
author,19810,single,Q4,582,17.53,82.47,0.0,1000,30.7,68.7,0.6,1582,25.85,73.77,0.38
author,19810,single,Q3,582,18.21,81.79,0.0,1000,23.0,76.3,0.7,1582,21.24,78.32,0.44
author,19810,single,Q2,582,21.82,78.18,0.0,1000,41.7,58.1,0.2,1582,34.39,65.49,0.13
author,19810,single,Q1,582,29.04,70.96,0.0,1000,37.5,62.2,0.3,1582,34.39,65.42,0.19
coverArtist,294,few,Q4,11,0.0,100.0,0.0,0,0.0,0.0,0.0,11,0.0,100.0,0.0
coverArtist,294,few,Q3,11,0.0,100.0,0.0,0,0.0,0.0,0.0,11,0.0,100.0,0.0
coverArtist,294,few,Q2,11,0.0,100.0,0.0,0,0.0,0.0,0.0,11,0.0,100.0,0.0
coverArtist,294,few,Q1,8,0.0,100.0,0.0,0,0.0,0.0,0.0,8,0.0,100.0,0.0
coverArtist,294,many,Q4,2,0.0,100.0,0.0,0,0.0,0.0,0.0,2,0.0,100.0,0.0
coverArtist,294,many,Q3,2,0.0,100.0,0.0,0,0.0,0.0,0.0,2,0.0,100.0,0.0
coverArtist,294,many,Q2,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
coverArtist,294,single,Q4,13,15.38,84.62,0.0,74,2.7,87.84,9.46,87,4.6,87.36,8.05
coverArtist,294,single,Q3,13,0.0,100.0,0.0,74,9.46,83.78,6.76,87,8.05,86.21,5.75
coverArtist,294,single,Q2,13,15.38,84.62,0.0,74,13.51,82.43,4.05,87,13.79,82.76,3.45
coverArtist,294,single,Q1,12,0.0,100.0,0.0,72,6.94,86.11,6.94,84,5.95,88.1,5.95
illustrator,369,few,Q4,16,0.0,100.0,0.0,1,0.0,100.0,0.0,17,0.0,100.0,0.0
illustrator,369,few,Q3,16,12.5,87.5,0.0,0,0.0,0.0,0.0,16,12.5,87.5,0.0
illustrator,369,few,Q2,16,0.0,100.0,0.0,0,0.0,0.0,0.0,16,0.0,100.0,0.0
illustrator,369,few,Q1,13,0.0,100.0,0.0,0,0.0,0.0,0.0,13,0.0,100.0,0.0
illustrator,369,many,Q4,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
illustrator,369,many,Q3,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
illustrator,369,many,Q2,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
illustrator,369,many,Q1,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
illustrator,369,single,Q4,21,19.05,80.95,0.0,92,10.87,89.13,0.0,113,12.39,87.61,0.0
illustrator,369,single,Q3,21,23.81,76.19,0.0,92,15.22,83.7,1.09,113,16.81,82.3,0.88
illustrator,369,single,Q2,21,38.1,61.9,0.0,92,21.74,78.26,0.0,113,24.78,75.22,0.0
illustrator,369,single,Q1,21,9.52,90.48,0.0,91,30.77,69.23,0.0,112,26.79,73.21,0.0
publisher,41,few,Q4,3,0.0,100.0,0.0,0,0.0,0.0,0.0,3,0.0,100.0,0.0
publisher,41,few,Q3,3,0.0,100.0,0.0,0,0.0,0.0,0.0,3,0.0,100.0,0.0
publisher,41,few,Q2,3,0.0,100.0,0.0,0,0.0,0.0,0.0,3,0.0,100.0,0.0
publisher,41,many,Q4,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
