predicate,freq,Cardinality Class,PR_quartile,n_ow,OW accuracy,OW hallucination,OW unsure,n_sw,SW accuracy,SW hallucination,SW unsure,n_total,Total accuracy,Total hallucination,Total unsure
author,19810,few,Q4,589,0.68,99.15,0.17,128,6.25,93.75,0.0,717,1.67,98.19,0.14
author,19810,few,Q3,589,1.02,98.64,0.34,128,11.72,86.72,1.56,717,2.93,96.51,0.56
author,19810,few,Q2,589,0.85,98.81,0.34,128,11.72,87.5,0.78,717,2.79,96.79,0.42
author,19810,few,Q1,589,0.34,99.66,0.0,126,12.7,87.3,0.0,715,2.52,97.48,0.0
author,19810,many,Q4,4,0.0,100.0,0.0,1,0.0,100.0,0.0,5,0.0,100.0,0.0
author,19810,many,Q3,4,0.0,100.0,0.0,1,0.0,100.0,0.0,5,0.0,100.0,0.0
author,19810,many,Q2,4,0.0,100.0,0.0,1,0.0,100.0,0.0,5,0.0,100.0,0.0
author,19810,many,Q1,2,0.0,100.0,0.0,0,0.0,0.0,0.0,2,0.0,100.0,0.0
author,19810,single,Q4,582,7.56,92.27,0.17,1000,22.0,77.4,0.6,1582,16.69,82.87,0.44
author,19810,single,Q3,582,4.98,95.02,0.0,1000,14.7,84.5,0.8,1582,11.13,88.37,0.51
author,19810,single,Q2,582,10.82,89.18,0.0,1000,29.2,69.5,1.3,1582,22.44,76.74,0.82
author,19810,single,Q1,582,15.46,84.54,0.0,1000,27.9,71.7,0.4,1582,23.32,76.42,0.25
coverArtist,294,few,Q4,11,0.0,100.0,0.0,0,0.0,0.0,0.0,11,0.0,100.0,0.0
coverArtist,294,few,Q3,11,0.0,100.0,0.0,0,0.0,0.0,0.0,11,0.0,100.0,0.0
coverArtist,294,few,Q2,11,0.0,100.0,0.0,0,0.0,0.0,0.0,11,0.0,100.0,0.0
coverArtist,294,few,Q1,8,0.0,100.0,0.0,0,0.0,0.0,0.0,8,0.0,100.0,0.0
coverArtist,294,many,Q4,2,0.0,100.0,0.0,0,0.0,0.0,0.0,2,0.0,100.0,0.0
coverArtist,294,many,Q3,2,0.0,50.0,50.0,0,0.0,0.0,0.0,2,0.0,50.0,50.0
coverArtist,294,many,Q2,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
coverArtist,294,single,Q4,13,0.0,100.0,0.0,74,4.05,95.95,0.0,87,3.45,96.55,0.0
coverArtist,294,single,Q3,13,0.0,100.0,0.0,74,10.81,89.19,0.0,87,9.2,90.8,0.0
coverArtist,294,single,Q2,13,15.38,84.62,0.0,74,6.76,93.24,0.0,87,8.05,91.95,0.0
coverArtist,294,single,Q1,12,0.0,100.0,0.0,72,8.33,91.67,0.0,84,7.14,92.86,0.0
illustrator,369,few,Q4,16,0.0,100.0,0.0,1,0.0,100.0,0.0,17,0.0,100.0,0.0
illustrator,369,few,Q3,16,12.5,87.5,0.0,0,0.0,0.0,0.0,16,12.5,87.5,0.0
illustrator,369,few,Q2,16,0.0,100.0,0.0,0,0.0,0.0,0.0,16,0.0,100.0,0.0
illustrator,369,few,Q1,13,0.0,100.0,0.0,0,0.0,0.0,0.0,13,0.0,100.0,0.0
illustrator,369,many,Q4,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
illustrator,369,many,Q3,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
illustrator,369,many,Q2,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
illustrator,369,many,Q1,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
illustrator,369,single,Q4,21,0.0,100.0,0.0,92,7.61,92.39,0.0,113,6.19,93.81,0.0
illustrator,369,single,Q3,21,9.52,90.48,0.0,92,17.39,82.61,0.0,113,15.93,84.07,0.0
illustrator,369,single,Q2,21,19.05,80.95,0.0,92,25.0,73.91,1.09,113,23.89,75.22,0.88
illustrator,369,single,Q1,21,4.76,95.24,0.0,91,37.36,62.64,0.0,112,31.25,68.75,0.0
publisher,41,few,Q4,3,0.0,100.0,0.0,0,0.0,0.0,0.0,3,0.0,100.0,0.0
publisher,41,few,Q3,3,0.0,100.0,0.0,0,0.0,0.0,0.0,3,0.0,100.0,0.0
publisher,41,few,Q2,3,0.0,100.0,0.0,0,0.0,0.0,0.0,3,0.0,100.0,0.0
publisher,41,many,Q4,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
publisher,41,single,Q4,4,0.0,100.0,0.0,11,0.0,100.0,0.0,15,0.0,100.0,0.0
publisher,41,single,Q3,4,25.0,75.0,0.0,11,9.09,81.82,9.09,15,13.33,80.0,6.67
publisher,41,single,Q2,4,25.0,75.0,0.0,11,9.09,90.91,0.0,15,13.33,86.67,0.0
publisher,41,single,Q1,1,0.0,100.0,0.0,8,12.5,87.5,0.0,9,11.11,88.89,0.0
translator,184,few,Q4,7,0.0,100.0,0.0,2,0.0,100.0,0.0,9,0.0,100.0,0.0
translator,184,few,Q3,7,0.0,100.0,0.0,2,0.0,100.0,0.0,9,0.0,100.0,0.0
translator,184,few,Q2,7,0.0,100.0,0.0,2,0.0,100.0,0.0,9,0.0,100.0,0.0
translator,184,few,Q1,5,0.0,100.0,0.0,1,0.0,100.0,0.0,6,0.0,100.0,0.0
translator,184,many,Q4,1,0.0,100.0,0.0,1,0.0,100.0,0.0,2,0.0,100.0,0.0
translator,184,many,Q3,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
translator,184,single,Q4,16,0.0,100.0,0.0,42,7.14,92.86,0.0,58,5.17,94.83,0.0
translator,184,single,Q3,16,0.0,100.0,0.0,42,0.0,100.0,0.0,58,0.0,100.0,0.0
translator,184,single,Q2,16,6.25,93.75,0.0,42,2.38,97.62,0.0,58,3.45,96.55,0.0
translator,184,single,Q1,13,0.0,100.0,0.0,41,4.88,95.12,0.0,54,3.7,96.3,0.0
ALL,-,total,-,5056,5.08,94.78,0.14,5391,20.46,78.87,0.67,10447,13.02,86.57,0.41
