predicate,freq,Cardinality Class,PR_quartile,n_ow,OW accuracy,OW hallucination,OW unsure,n_sw,SW accuracy,SW hallucination,SW unsure,n_total,Total accuracy,Total hallucination,Total unsure
author,19810,few,Q4,589,0.51,99.32,0.17,128,3.12,96.88,0.0,717,0.98,98.88,0.14
author,19810,few,Q3,589,0.51,99.49,0.0,128,3.91,96.09,0.0,717,1.12,98.88,0.0
author,19810,few,Q2,589,0.34,99.66,0.0,128,3.91,96.09,0.0,717,0.98,99.02,0.0
author,19810,few,Q1,589,0.51,99.49,0.0,126,7.14,92.86,0.0,715,1.68,98.32,0.0
author,19810,many,Q4,4,0.0,100.0,0.0,1,0.0,100.0,0.0,5,0.0,100.0,0.0
author,19810,many,Q3,4,0.0,100.0,0.0,1,0.0,100.0,0.0,5,0.0,100.0,0.0
author,19810,many,Q2,4,0.0,100.0,0.0,1,0.0,100.0,0.0,5,0.0,100.0,0.0
author,19810,many,Q1,2,0.0,100.0,0.0,0,0.0,0.0,0.0,2,0.0,100.0,0.0
author,19810,single,Q4,582,1.55,98.45,0.0,1000,11.1,88.9,0.0,1582,7.59,92.41,0.0
author,19810,single,Q3,582,1.37,98.63,0.0,1000,7.4,92.6,0.0,1582,5.18,94.82,0.0
author,19810,single,Q2,582,3.78,96.22,0.0,1000,15.9,84.1,0.0,1582,11.44,88.56,0.0
author,19810,single,Q1,582,6.87,93.13,0.0,1000,16.2,83.8,0.0,1582,12.77,87.23,0.0
coverArtist,294,few,Q4,11,0.0,100.0,0.0,0,0.0,0.0,0.0,11,0.0,100.0,0.0
coverArtist,294,few,Q3,11,0.0,100.0,0.0,0,0.0,0.0,0.0,11,0.0,100.0,0.0
coverArtist,294,few,Q2,11,0.0,100.0,0.0,0,0.0,0.0,0.0,11,0.0,100.0,0.0
coverArtist,294,few,Q1,8,0.0,100.0,0.0,0,0.0,0.0,0.0,8,0.0,100.0,0.0
coverArtist,294,many,Q4,2,0.0,100.0,0.0,0,0.0,0.0,0.0,2,0.0,100.0,0.0
coverArtist,294,many,Q3,2,0.0,100.0,0.0,0,0.0,0.0,0.0,2,0.0,100.0,0.0
coverArtist,294,many,Q2,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
coverArtist,294,single,Q4,13,0.0,100.0,0.0,74,2.7,97.3,0.0,87,2.3,97.7,0.0
coverArtist,294,single,Q3,13,0.0,100.0,0.0,74,2.7,97.3,0.0,87,2.3,97.7,0.0
coverArtist,294,single,Q2,13,23.08,76.92,0.0,74,4.05,95.95,0.0,87,6.9,93.1,0.0
coverArtist,294,single,Q1,12,0.0,100.0,0.0,72,2.78,97.22,0.0,84,2.38,97.62,0.0
illustrator,369,few,Q4,16,0.0,100.0,0.0,1,0.0,100.0,0.0,17,0.0,100.0,0.0
illustrator,369,few,Q3,16,6.25,93.75,0.0,0,0.0,0.0,0.0,16,6.25,93.75,0.0
illustrator,369,few,Q2,16,0.0,100.0,0.0,0,0.0,0.0,0.0,16,0.0,100.0,0.0
illustrator,369,few,Q1,13,0.0,100.0,0.0,0,0.0,0.0,0.0,13,0.0,100.0,0.0
illustrator,369,many,Q4,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
illustrator,369,many,Q3,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
illustrator,369,many,Q2,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
illustrator,369,many,Q1,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
illustrator,369,single,Q4,21,0.0,100.0,0.0,92,5.43,94.57,0.0,113,4.42,95.58,0.0
illustrator,369,single,Q3,21,0.0,100.0,0.0,92,6.52,93.48,0.0,113,5.31,94.69,0.0
illustrator,369,single,Q2,21,4.76,95.24,0.0,92,8.7,91.3,0.0,113,7.96,92.04,0.0
illustrator,369,single,Q1,21,4.76,95.24,0.0,91,17.58,82.42,0.0,112,15.18,84.82,0.0
publisher,41,few,Q4,3,0.0,100.0,0.0,0,0.0,0.0,0.0,3,0.0,100.0,0.0
publisher,41,few,Q3,3,0.0,100.0,0.0,0,0.0,0.0,0.0,3,0.0,100.0,0.0
publisher,41,few,Q2,3,0.0,100.0,0.0,0,0.0,0.0,0.0,3,0.0,100.0,0.0
publisher,41,many,Q4,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
publisher,41,single,Q4,4,0.0,100.0,0.0,11,0.0,100.0,0.0,15,0.0,100.0,0.0
publisher,41,single,Q3,4,0.0,100.0,0.0,11,9.09,90.91,0.0,15,6.67,93.33,0.0
publisher,41,single,Q2,4,0.0,100.0,0.0,11,9.09,90.91,0.0,15,6.67,93.33,0.0
publisher,41,single,Q1,1,100.0,0.0,0.0,8,0.0,100.0,0.0,9,11.11,88.89,0.0
translator,184,few,Q4,7,0.0,100.0,0.0,2,0.0,100.0,0.0,9,0.0,100.0,0.0
translator,184,few,Q3,7,0.0,100.0,0.0,2,0.0,100.0,0.0,9,0.0,100.0,0.0
translator,184,few,Q2,7,0.0,100.0,0.0,2,0.0,100.0,0.0,9,0.0,100.0,0.0
translator,184,few,Q1,5,0.0,100.0,0.0,1,0.0,100.0,0.0,6,0.0,100.0,0.0
translator,184,many,Q4,1,0.0,100.0,0.0,1,0.0,100.0,0.0,2,0.0,100.0,0.0
translator,184,many,Q3,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
translator,184,single,Q4,16,0.0,100.0,0.0,42,2.38,97.62,0.0,58,1.72,98.28,0.0
translator,184,single,Q3,16,0.0,100.0,0.0,42,0.0,100.0,0.0,58,0.0,100.0,0.0
translator,184,single,Q2,16,0.0,100.0,0.0,42,2.38,97.62,0.0,58,1.72,98.28,0.0
translator,184,single,Q1,13,7.69,92.31,0.0,41,4.88,95.12,0.0,54,5.56,94.44,0.0
ALL,-,total,-,5056,1.94,98.04,0.02,5391,10.74,89.26,0.0,10447,6.48,93.51,0.01
