predicate,freq,Cardinality Class,PR_quartile,n_ow,OW accuracy,OW hallucination,OW unsure,n_sw,SW accuracy,SW hallucination,SW unsure,n_total,Total accuracy,Total hallucination,Total unsure
author,19810,few,Q4,589,1.36,94.91,3.74,128,8.59,88.28,3.12,717,2.65,93.72,3.63
author,19810,few,Q3,589,2.72,93.38,3.9,128,14.84,82.03,3.12,717,4.88,91.35,3.77
author,19810,few,Q2,589,2.55,93.38,4.07,128,19.53,78.12,2.34,717,5.58,90.66,3.77
author,19810,few,Q1,589,0.51,96.43,3.06,126,12.7,84.92,2.38,715,2.66,94.41,2.94
author,19810,many,Q4,4,0.0,100.0,0.0,1,0.0,100.0,0.0,5,0.0,100.0,0.0
author,19810,many,Q3,4,0.0,100.0,0.0,1,0.0,100.0,0.0,5,0.0,100.0,0.0
author,19810,many,Q2,4,0.0,100.0,0.0,1,0.0,100.0,0.0,5,0.0,100.0,0.0
author,19810,many,Q1,2,0.0,100.0,0.0,0,0.0,0.0,0.0,2,0.0,100.0,0.0
author,19810,single,Q4,582,9.11,89.18,1.72,1000,27.4,71.4,1.2,1582,20.67,77.94,1.39
author,19810,single,Q3,582,7.9,88.49,3.61,1000,18.3,80.0,1.7,1582,14.48,83.12,2.4
author,19810,single,Q2,582,11.34,85.4,3.26,1000,33.3,65.7,1.0,1582,25.22,72.95,1.83
author,19810,single,Q1,582,15.98,80.58,3.44,1000,33.2,65.9,0.9,1582,26.86,71.3,1.83
coverArtist,294,few,Q4,11,0.0,100.0,0.0,0,0.0,0.0,0.0,11,0.0,100.0,0.0
coverArtist,294,few,Q3,11,0.0,100.0,0.0,0,0.0,0.0,0.0,11,0.0,100.0,0.0
coverArtist,294,few,Q2,11,0.0,90.91,9.09,0,0.0,0.0,0.0,11,0.0,90.91,9.09
coverArtist,294,few,Q1,8,0.0,87.5,12.5,0,0.0,0.0,0.0,8,0.0,87.5,12.5
coverArtist,294,many,Q4,2,0.0,100.0,0.0,0,0.0,0.0,0.0,2,0.0,100.0,0.0
coverArtist,294,many,Q3,2,0.0,100.0,0.0,0,0.0,0.0,0.0,2,0.0,100.0,0.0
coverArtist,294,many,Q2,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
coverArtist,294,single,Q4,13,0.0,100.0,0.0,74,5.41,91.89,2.7,87,4.6,93.1,2.3
coverArtist,294,single,Q3,13,0.0,100.0,0.0,74,2.7,91.89,5.41,87,2.3,93.1,4.6
coverArtist,294,single,Q2,13,0.0,100.0,0.0,74,12.16,87.84,0.0,87,10.34,89.66,0.0
coverArtist,294,single,Q1,12,0.0,100.0,0.0,72,9.72,90.28,0.0,84,8.33,91.67,0.0
illustrator,369,few,Q4,16,0.0,87.5,12.5,1,0.0,0.0,100.0,17,0.0,82.35,17.65
illustrator,369,few,Q3,16,0.0,81.25,18.75,0,0.0,0.0,0.0,16,0.0,81.25,18.75
illustrator,369,few,Q2,16,0.0,93.75,6.25,0,0.0,0.0,0.0,16,0.0,93.75,6.25
illustrator,369,few,Q1,13,0.0,100.0,0.0,0,0.0,0.0,0.0,13,0.0,100.0,0.0
illustrator,369,many,Q4,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
illustrator,369,many,Q3,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
illustrator,369,many,Q2,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
illustrator,369,many,Q1,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
illustrator,369,single,Q4,21,4.76,90.48,4.76,92,8.7,91.3,0.0,113,7.96,91.15,0.88
illustrator,369,single,Q3,21,9.52,90.48,0.0,92,10.87,85.87,3.26,113,10.62,86.73,2.65
illustrator,369,single,Q2,21,14.29,85.71,0.0,92,18.48,80.43,1.09,113,17.7,81.42,0.88
illustrator,369,single,Q1,21,4.76,90.48,4.76,91,23.08,75.82,1.1,112,19.64,78.57,1.79
publisher,41,few,Q4,3,0.0,66.67,33.33,0,0.0,0.0,0.0,3,0.0,66.67,33.33
publisher,41,few,Q3,3,0.0,66.67,33.33,0,0.0,0.0,0.0,3,0.0,66.67,33.33
publisher,41,few,Q2,3,0.0,100.0,0.0,0,0.0,0.0,0.0,3,0.0,100.0,0.0
