pattern_id,predicate,sup,card_class,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,author,19810,few,0.3395585738539898,0.46689303904923596,4.584040747028863,2.928692699490662,1.5704584040747027,2.843803056027165,2356
P1,author,19810,many,0.0,0.0,0.0,0.0,0.0,0.0,14
P1,author,19810,single,9.192439862542956,10.008591065292096,14.604810996563575,12.929553264604813,7.774914089347079,11.168384879725087,2328
P2,illustrator,369,few,0.0,0.0,4.918032786885246,1.639344262295082,1.639344262295082,3.278688524590164,61
P2,illustrator,369,many,0.0,0.0,0.0,0.0,0.0,0.0,4
P2,illustrator,369,single,8.333333333333332,9.523809523809524,10.714285714285714,9.523809523809524,4.761904761904762,9.523809523809524,84
P3,coverArtist,294,few,0.0,0.0,0.0,0.0,0.0,0.0,41
P3,coverArtist,294,many,0.0,0.0,0.0,0.0,0.0,0.0,5
P3,coverArtist,294,single,5.88235294117647,5.88235294117647,5.88235294117647,5.88235294117647,1.9607843137254901,5.88235294117647,51
P4,translator,184,few,0.0,0.0,0.0,0.0,0.0,0.0,26
P4,translator,184,many,0.0,0.0,0.0,0.0,0.0,0.0,2
P4,translator,184,single,1.639344262295082,1.639344262295082,3.278688524590164,3.278688524590164,1.639344262295082,4.918032786885246,61
P8,publisher,41,few,0.0,0.0,0.0,0.0,0.0,0.0,9
P8,publisher,41,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P8,publisher,41,single,15.384615384615385,15.384615384615385,15.384615384615385,15.384615384615385,7.6923076923076925,15.384615384615385,13
