pattern_id,predicate,sup,card_class,pr_quartile,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,author,19810,few,Q1,0.3395585738539898,0.3395585738539898,3.395585738539898,3.7351443123938877,1.3582342954159592,1.697792869269949,589
P1,author,19810,few,Q2,0.6791171477079796,1.0186757215619695,6.960950764006792,5.093378607809847,2.7164685908319184,4.4142614601018675,589
P1,author,19810,few,Q3,0.1697792869269949,0.3395585738539898,5.432937181663837,2.3769100169779285,1.697792869269949,3.7351443123938877,589
P1,author,19810,few,Q4,0.1697792869269949,0.1697792869269949,2.5466893039049237,0.5093378607809848,0.5093378607809848,1.5280135823429541,589
P1,author,19810,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,4
P1,author,19810,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,4
P1,author,19810,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,4
P1,author,19810,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,2
P1,author,19810,single,Q1,6.529209621993128,7.560137457044673,10.652920962199312,9.621993127147768,6.529209621993128,8.419243986254296,582
P1,author,19810,single,Q2,4.29553264604811,4.982817869415808,7.560137457044673,6.529209621993128,3.608247422680412,5.670103092783505,582
P1,author,19810,single,Q3,10.824742268041238,11.683848797250858,17.869415807560138,16.49484536082474,9.278350515463918,13.058419243986256,582
P1,author,19810,single,Q4,15.120274914089347,15.807560137457044,22.336769759450174,19.072164948453608,11.683848797250858,17.525773195876287,582
P2,illustrator,369,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,16
P2,illustrator,369,few,Q2,0.0,0.0,12.5,6.25,6.25,12.5,16
P2,illustrator,369,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,16
P2,illustrator,369,few,Q4,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,13
P2,illustrator,369,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,illustrator,369,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,illustrator,369,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,illustrator,369,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,illustrator,369,single,Q1,0.0,0.0,0.0,0.0,0.0,0.0,21
P2,illustrator,369,single,Q2,4.761904761904762,9.523809523809524,9.523809523809524,9.523809523809524,0.0,9.523809523809524,21
P2,illustrator,369,single,Q3,23.809523809523807,23.809523809523807,23.809523809523807,23.809523809523807,14.285714285714285,23.809523809523807,21
P2,illustrator,369,single,Q4,4.761904761904762,4.761904761904762,9.523809523809524,4.761904761904762,4.761904761904762,4.761904761904762,21
P3,coverArtist,294,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,11
P3,coverArtist,294,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,11
P3,coverArtist,294,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,11
P3,coverArtist,294,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,8
P3,coverArtist,294,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,2
P3,coverArtist,294,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,2
P3,coverArtist,294,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P3,coverArtist,294,single,Q1,0.0,0.0,0.0,0.0,0.0,0.0,13
P3,coverArtist,294,single,Q2,0.0,0.0,0.0,0.0,0.0,0.0,13
P3,coverArtist,294,single,Q3,23.076923076923077,23.076923076923077,23.076923076923077,23.076923076923077,7.6923076923076925,23.076923076923077,13
P3,coverArtist,294,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,12
P4,translator,184,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,7
P4,translator,184,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,7
P4,translator,184,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,7
P4,translator,184,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,5
P4,translator,184,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,1
P4,translator,184,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P4,translator,184,single,Q1,0.0,0.0,0.0,0.0,0.0,0.0,16
P4,translator,184,single,Q2,0.0,0.0,6.25,6.25,0.0,6.25,16
P4,translator,184,single,Q3,6.25,6.25,6.25,6.25,6.25,6.25,16
P4,translator,184,single,Q4,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,13
P8,publisher,41,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,3
P8,publisher,41,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,3
P8,publisher,41,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,3
P8,publisher,41,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,1
P8,publisher,41,single,Q1,0.0,0.0,0.0,0.0,0.0,0.0,4
P8,publisher,41,single,Q2,25.0,25.0,25.0,25.0,0.0,25.0,4
P8,publisher,41,single,Q3,25.0,25.0,25.0,25.0,25.0,25.0,4
P8,publisher,41,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
