pattern_id,predicate,sup,card_class,pr_quartile,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,author,19810,few,Q1,0.0,0.1697792869269949,2.5466893039049237,2.2071307300509337,0.3395585738539898,0.6791171477079796,589
P1,author,19810,few,Q2,0.0,0.0,4.4142614601018675,2.3769100169779285,0.8488964346349746,1.0186757215619695,589
P1,author,19810,few,Q3,0.0,0.0,1.8675721561969438,2.037351443123939,0.6791171477079796,0.8488964346349746,589
P1,author,19810,few,Q4,0.0,0.0,0.6791171477079796,0.6791171477079796,0.0,0.3395585738539898,589
P1,author,19810,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,4
P1,author,19810,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,4
P1,author,19810,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,4
P1,author,19810,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,2
P1,author,19810,single,Q1,6.013745704467354,6.872852233676976,9.450171821305842,8.762886597938143,6.185567010309279,7.560137457044673,582
P1,author,19810,single,Q2,3.951890034364261,4.639175257731959,6.701030927835052,5.498281786941581,3.0927835051546393,4.982817869415808,582
P1,author,19810,single,Q3,9.278350515463918,9.965635738831615,14.432989690721648,13.402061855670103,8.419243986254296,10.824742268041238,582
P1,author,19810,single,Q4,13.23024054982818,14.261168384879724,18.900343642611684,17.010309278350515,9.621993127147768,15.463917525773196,582
P2,illustrator,369,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,16
P2,illustrator,369,few,Q2,0.0,0.0,12.5,0.0,0.0,12.5,16
P2,illustrator,369,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,16
P2,illustrator,369,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,13
P2,illustrator,369,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,illustrator,369,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,illustrator,369,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,illustrator,369,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,illustrator,369,single,Q1,0.0,0.0,0.0,0.0,0.0,0.0,21
P2,illustrator,369,single,Q2,4.761904761904762,9.523809523809524,9.523809523809524,9.523809523809524,0.0,9.523809523809524,21
P2,illustrator,369,single,Q3,19.047619047619047,19.047619047619047,19.047619047619047,19.047619047619047,14.285714285714285,19.047619047619047,21
P2,illustrator,369,single,Q4,4.761904761904762,4.761904761904762,14.285714285714285,9.523809523809524,9.523809523809524,4.761904761904762,21
P3,coverArtist,294,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,11
P3,coverArtist,294,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,11
P3,coverArtist,294,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,11
P3,coverArtist,294,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,8
P3,coverArtist,294,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,2
P3,coverArtist,294,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,2
P3,coverArtist,294,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P3,coverArtist,294,single,Q1,0.0,0.0,0.0,0.0,0.0,0.0,13
P3,coverArtist,294,single,Q2,0.0,0.0,0.0,0.0,0.0,0.0,13
P3,coverArtist,294,single,Q3,15.384615384615385,15.384615384615385,30.76923076923077,23.076923076923077,15.384615384615385,15.384615384615385,13
P3,coverArtist,294,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,12
P4,translator,184,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,7
P4,translator,184,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,7
P4,translator,184,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,7
P4,translator,184,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,5
P4,translator,184,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,1
P4,translator,184,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P4,translator,184,single,Q1,0.0,0.0,0.0,0.0,0.0,0.0,16
P4,translator,184,single,Q2,0.0,0.0,0.0,0.0,0.0,0.0,16
P4,translator,184,single,Q3,6.25,6.25,6.25,6.25,6.25,6.25,16
P4,translator,184,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,13
P8,publisher,41,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,3
P8,publisher,41,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,3
P8,publisher,41,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,3
P8,publisher,41,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,1
P8,publisher,41,single,Q1,0.0,0.0,0.0,0.0,0.0,0.0,4
P8,publisher,41,single,Q2,25.0,25.0,25.0,25.0,0.0,25.0,4
P8,publisher,41,single,Q3,25.0,25.0,25.0,25.0,25.0,25.0,4
P8,publisher,41,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
