metric,group,elasticity
exact_match,single,-1.0645586339330726
exact_match,few,-0.0
exact_match,many,-0.0
exact_match,few+many,-0.0
edit_sim,single,-0.7472932876678132
edit_sim,few,0.01766674430692632
edit_sim,many,-0.0
edit_sim,few+many,0.00965144016873529
jaccard_sim,single,0.4669161408564145
jaccard_sim,few,0.9275356003448647
jaccard_sim,many,-0.0
jaccard_sim,few+many,0.44887132417803904
rouge_l,single,0.07436219766192173
rouge_l,few,0.7596700051978315
rouge_l,many,-0.0
rouge_l,few+many,0.4150119272556177
bleu,single,0.41267375097516434
bleu,few,0.19433418737618943
bleu,many,-0.0
bleu,few+many,0.10616584185608822
bert_cosine,single,-0.42546713106638206
bert_cosine,few,0.2385325723747385
bert_cosine,many,-0.0
bert_cosine,few+many,0.07246515759736266
