metric,group,elasticity
exact_match,single,2.086945197150744
exact_match,few,0.03533348861385264
exact_match,many,-0.0
exact_match,few+many,0.01930288033747058
edit_sim,single,3.5888005946240886
edit_sim,few,0.10600046584155788
edit_sim,many,-0.0
edit_sim,few+many,0.05790864101241178
jaccard_sim,single,1.543629620115983
jaccard_sim,few,0.8205190637500543
jaccard_sim,many,-0.0
jaccard_sim,few+many,0.29943378047862806
rouge_l,single,2.9606496733139904
rouge_l,few,0.7414952255142789
rouge_l,many,-0.0
rouge_l,few+many,0.3595960357433827
bleu,single,2.2166606239430275
bleu,few,0.2650011646038947
bleu,many,-0.0
bleu,few+many,0.14477160253102941
bert_cosine,single,2.4645920178257135
bert_cosine,few,0.7420032608909053
bert_cosine,many,-0.0
bert_cosine,few+many,0.40536048708688255
