metric,group,elasticity
exact_match,single,2.7726089089885644
exact_match,few,0.1236672101484842
exact_match,many,-0.0
exact_match,few+many,0.06756008118114704
edit_sim,single,3.291106605735315
edit_sim,few,0.2650011646038947
edit_sim,many,-0.0
edit_sim,few+many,0.14477160253102941
jaccard_sim,single,5.331957456599207
jaccard_sim,few,2.4645423550474543
jaccard_sim,many,-0.0
jaccard_sim,few+many,1.28854661885801
rouge_l,single,4.953511071086989
rouge_l,few,1.6076737319302947
rouge_l,many,-0.0
rouge_l,few+many,0.8782810553549117
bleu,single,3.5807664032915842
bleu,few,0.7596700051978315
bleu,many,-0.0
bleu,few+many,0.4150119272556177
bert_cosine,single,3.9489240821721876
bert_cosine,few,1.6518721169288437
bert_cosine,many,-0.0
bert_cosine,few+many,0.8445803710961862
