metric,group,elasticity
exact_match,single,2.5825777259652614
exact_match,few,0.05300023292077894
exact_match,many,-0.0
exact_match,few+many,0.02895432050620589
edit_sim,single,4.464093772720728
edit_sim,few,0.08833372153463158
edit_sim,many,-0.0
edit_sim,few+many,0.04825720084367647
jaccard_sim,single,4.856647715915221
jaccard_sim,few,1.1704375724494847
jaccard_sim,many,-0.0
jaccard_sim,few+many,0.6104932688384311
rouge_l,single,5.6254546455741945
rouge_l,few,0.7817691976971061
rouge_l,many,-0.0
rouge_l,few+many,0.3981615851262549
bleu,single,2.8694345578182325
bleu,few,0.34010059002394827
bleu,many,-0.0
bleu,few+many,0.15687558090787249
bert_cosine,single,4.9065137354421005
bert_cosine,few,0.7817691976971061
bert_cosine,many,-0.0
bert_cosine,few+many,0.3981615851262549
