pattern_id,predicate,sup,card_class,pr_quartile,question,answer
P1,author,19810,single,Q1,What book has Raymond Moody written?,Life After Life (book)
P1,author,19810,single,Q1,What book has Anne Desclos written?,Story of O
P1,author,19810,single,Q1,What book has R. J. Yeatman written?,1066 and All That
P1,author,19810,single,Q1,What book has Iris Chang written?,The Rape of Nanking (book)
P1,author,19810,single,Q1,What book has Joan Lindsay written?,Picnic at Hanging Rock (novel)
P1,author,19810,single,Q1,What book has Walter Lord written?,A Night to Remember (book)
P1,author,19810,single,Q1,What book has Robert W. Chambers written?,The King in Yellow
P1,author,19810,single,Q1,What book has William H. Armstrong written?,Sounder
P1,author,19810,single,Q1,What book has Craig Harrison (writer) written?,The Quiet Earth
P1,author,19810,single,Q1,What book has Grace Llewellyn written?,The Teenage Liberation Handbook
P1,author,19810,single,Q1,What book has Muriel Denison written?,Susannah of the Mounties
P1,author,19810,single,Q1,What book has Satyam Sankaramanchi written?,Amaravati Kathalu
P1,author,19810,single,Q1,What book has Stella Gibbons written?,Cold Comfort Farm
P1,author,19810,single,Q1,What book has Mika Waltari written?,The Egyptian
P1,author,19810,single,Q1,What book has Ellen Glasgow written?,Virginia (novel)
P1,author,19810,single,Q1,What book has Gary K. Wolf written?,Who Censored Roger Rabbit?
P1,author,19810,single,Q1,What book has Mil Millington written?,Things My Girlfriend and I Have Argued About
P1,author,19810,single,Q1,What book has Piri Thomas written?,Down These Mean Streets
P1,author,19810,single,Q1,What book has Mark Clifton written?,They'd Rather Be Right
P1,author,19810,single,Q1,What book has Will Durant written?,The Story of Civilization
P1,author,19810,single,Q1,What book has John Henry Patterson (author) written?,The Man-eaters of Tsavo
P1,author,19810,single,Q1,What book has Ethel Pedley written?,Dot and the Kangaroo
P1,author,19810,single,Q1,What book has Michael Thomas Ford written?,Circle of Three
P1,author,19810,single,Q1,What book has Isabella Beeton written?,Mrs Beeton's Book of Household Management
P1,author,19810,single,Q1,What book has Harold Coyle written?,Team Yankee
P1,author,19810,single,Q1,What book has Vasily Aksyonov written?,Generations of Winter
P1,author,19810,single,Q1,What book has Don L. Wulffson written?,Soldier X
P1,author,19810,single,Q1,What book has Jason Clarke (writer) written?,Michael Moore Is a Big Fat Stupid White Man
P1,author,19810,single,Q1,What book has Max Beerbohm written?,Zuleika Dobson
P1,author,19810,single,Q1,What book has Dossie Easton written?,The Ethical Slut
P1,author,19810,single,Q1,What book has Andy Hunt (author) written?,Programming Ruby
P1,author,19810,single,Q1,What book has John Antrobus written?,The Bed-Sitting Room (play)
P1,author,19810,single,Q1,What book has Rudolfo Anaya written?,"Bless Me, Ultima"
P1,author,19810,single,Q1,"What book has Thomas Dixon, Jr. written?",The Leopard's Spots
P1,author,19810,single,Q1,What book has Emily Arnold McCully written?,Mirette on the High Wire
P1,author,19810,single,Q1,What book has Gregory David Roberts written?,Shantaram (novel)
P1,author,19810,single,Q1,What book has Dorothy Wall written?,Blinky Bill
P1,author,19810,single,Q1,What book has Frank Yerby written?,"Judas, My Brother"
P1,author,19810,single,Q1,What book has John Pearson (author) written?,James Bond: The Authorized Biography of 007
P1,author,19810,single,Q1,What book has Peter Høeg written?,Miss Smilla's Feeling for Snow
P1,author,19810,single,Q1,What book has Kunal Basu written?,Racists (novel)
P1,author,19810,single,Q1,What book has D'Arcy Wentworth Thompson written?,On Growth and Form
P1,author,19810,single,Q1,What book has Frans G. Bengtsson written?,The Long Ships
P1,author,19810,single,Q1,What book has Victor Margueritte written?,The Bachelor Girl
P1,author,19810,single,Q1,What book has Paul Wühr written?,Das falsche Buch
