predicate,freq,Cardinality Class,PR_quartile,n_ow,OW accuracy,OW hallucination,OW unsure,n_sw,SW accuracy,SW hallucination,SW unsure,n_total,Total accuracy,Total hallucination,Total unsure
author,4612,few,Q4,214,0.0,96.73,3.27,200,1.0,66.5,32.5,414,0.48,82.13,17.39
author,4612,few,Q3,214,0.0,95.79,4.21,200,0.0,81.0,19.0,414,0.0,88.65,11.35
author,4612,few,Q2,214,0.47,96.73,2.8,200,2.0,74.0,24.0,414,1.21,85.75,13.04
author,4612,few,Q1,214,1.4,96.26,2.34,198,4.04,73.74,22.22,412,2.67,85.44,11.89
author,4612,many,Q4,3,0.0,100.0,0.0,1,0.0,0.0,100.0,4,0.0,75.0,25.0
author,4612,many,Q3,3,0.0,100.0,0.0,1,0.0,0.0,100.0,4,0.0,75.0,25.0
author,4612,many,Q2,3,0.0,100.0,0.0,1,0.0,0.0,100.0,4,0.0,75.0,25.0
author,4612,many,Q1,0,0.0,0.0,0.0,1,0.0,100.0,0.0,1,0.0,100.0,0.0
author,4612,single,Q4,472,1.27,93.22,5.51,616,2.76,74.84,22.4,1088,2.11,82.81,15.07
author,4612,single,Q3,472,0.42,97.25,2.33,616,2.44,73.7,23.86,1088,1.56,83.92,14.52
author,4612,single,Q2,472,2.33,93.86,3.81,616,4.38,71.1,24.51,1088,3.49,80.97,15.53
author,4612,single,Q1,471,3.4,94.69,1.91,614,5.54,68.57,25.9,1085,4.61,79.91,15.48
composer,2771,few,Q4,105,0.0,99.05,0.95,66,0.0,87.88,12.12,171,0.0,94.74,5.26
composer,2771,few,Q3,105,0.0,100.0,0.0,66,0.0,78.79,21.21,171,0.0,91.81,8.19
composer,2771,few,Q2,105,0.0,98.1,1.9,66,0.0,89.39,10.61,171,0.0,94.74,5.26
composer,2771,few,Q1,103,1.94,91.26,6.8,65,0.0,86.15,13.85,168,1.19,89.29,9.52
composer,2771,many,Q4,1,0.0,100.0,0.0,1,0.0,100.0,0.0,2,0.0,100.0,0.0
composer,2771,many,Q3,0,0.0,0.0,0.0,1,0.0,100.0,0.0,1,0.0,100.0,0.0
composer,2771,single,Q4,155,0.65,96.13,3.23,538,0.93,89.96,9.11,693,0.87,91.34,7.79
composer,2771,single,Q3,155,1.94,93.55,4.52,538,0.74,84.2,15.06,693,1.01,86.29,12.7
composer,2771,single,Q2,155,2.58,95.48,1.94,538,1.86,85.87,12.27,693,2.02,88.02,9.96
composer,2771,single,Q1,153,5.88,89.54,4.58,536,5.41,83.21,11.38,689,5.52,84.62,9.87
creativeDirector,192,few,Q4,4,0.0,100.0,0.0,3,0.0,0.0,100.0,7,0.0,57.14,42.86
