predicate,freq,Cardinality Class,PR_quartile,n_ow,OW accuracy,OW hallucination,OW unsure,n_sw,SW accuracy,SW hallucination,SW unsure,n_total,Total accuracy,Total hallucination,Total unsure
author,4612,few,Q4,214,0.47,99.53,0.0,200,2.5,96.5,1.0,414,1.45,98.07,0.48
author,4612,few,Q3,214,0.0,100.0,0.0,200,0.5,99.5,0.0,414,0.24,99.76,0.0
author,4612,few,Q2,214,0.47,99.53,0.0,200,4.0,96.0,0.0,414,2.17,97.83,0.0
author,4612,few,Q1,214,1.87,98.13,0.0,198,5.05,94.95,0.0,412,3.4,96.6,0.0
author,4612,many,Q4,3,0.0,100.0,0.0,1,0.0,100.0,0.0,4,0.0,100.0,0.0
author,4612,many,Q3,3,0.0,100.0,0.0,1,0.0,100.0,0.0,4,0.0,100.0,0.0
author,4612,many,Q2,3,0.0,100.0,0.0,1,0.0,100.0,0.0,4,0.0,100.0,0.0
author,4612,many,Q1,0,0.0,0.0,0.0,1,0.0,100.0,0.0,1,0.0,100.0,0.0
author,4612,single,Q4,472,1.91,98.09,0.0,616,6.17,93.67,0.16,1088,4.32,95.59,0.09
author,4612,single,Q3,472,1.48,98.52,0.0,616,4.87,95.13,0.0,1088,3.4,96.6,0.0
author,4612,single,Q2,472,3.6,96.4,0.0,616,9.09,90.91,0.0,1088,6.71,93.29,0.0
author,4612,single,Q1,471,4.03,95.97,0.0,614,10.91,88.6,0.49,1085,7.93,91.8,0.28
composer,2771,few,Q4,105,0.0,100.0,0.0,66,0.0,100.0,0.0,171,0.0,100.0,0.0
composer,2771,few,Q3,105,0.0,100.0,0.0,66,1.52,98.48,0.0,171,0.58,99.42,0.0
composer,2771,few,Q2,105,0.95,99.05,0.0,66,3.03,96.97,0.0,171,1.75,98.25,0.0
composer,2771,few,Q1,103,0.0,100.0,0.0,65,6.15,93.85,0.0,168,2.38,97.62,0.0
composer,2771,many,Q4,1,0.0,100.0,0.0,1,0.0,100.0,0.0,2,0.0,100.0,0.0
composer,2771,many,Q3,0,0.0,0.0,0.0,1,0.0,100.0,0.0,1,0.0,100.0,0.0
composer,2771,single,Q4,155,0.65,99.35,0.0,538,3.35,96.65,0.0,693,2.74,97.26,0.0
composer,2771,single,Q3,155,1.29,98.71,0.0,538,1.67,98.33,0.0,693,1.59,98.41,0.0
composer,2771,single,Q2,155,1.29,98.71,0.0,538,6.88,93.12,0.0,693,5.63,94.37,0.0
composer,2771,single,Q1,153,5.88,94.12,0.0,536,14.93,84.89,0.19,689,12.92,86.94,0.15
creativeDirector,192,few,Q4,4,0.0,100.0,0.0,3,0.0,100.0,0.0,7,0.0,100.0,0.0
creativeDirector,192,few,Q3,4,0.0,100.0,0.0,3,0.0,100.0,0.0,7,0.0,100.0,0.0
creativeDirector,192,few,Q2,4,0.0,100.0,0.0,3,0.0,100.0,0.0,7,0.0,100.0,0.0
creativeDirector,192,few,Q1,4,0.0,100.0,0.0,0,0.0,0.0,0.0,4,0.0,100.0,0.0
creativeDirector,192,many,Q4,1,0.0,100.0,0.0,1,0.0,100.0,0.0,2,0.0,100.0,0.0
creativeDirector,192,single,Q4,13,0.0,100.0,0.0,43,4.65,95.35,0.0,56,3.57,96.43,0.0
creativeDirector,192,single,Q3,13,0.0,100.0,0.0,43,0.0,100.0,0.0,56,0.0,100.0,0.0
creativeDirector,192,single,Q2,13,15.38,84.62,0.0,43,2.33,97.67,0.0,56,5.36,94.64,0.0
creativeDirector,192,single,Q1,13,0.0,100.0,0.0,40,2.5,95.0,2.5,53,1.89,96.23,1.89
creator,6755,few,Q4,272,0.74,99.26,0.0,272,9.93,90.07,0.0,544,5.33,94.67,0.0
creator,6755,few,Q3,272,5.51,94.49,0.0,272,9.93,90.07,0.0,544,7.72,92.28,0.0
creator,6755,few,Q2,272,1.47,98.53,0.0,272,22.06,77.94,0.0,544,11.76,88.24,0.0
creator,6755,few,Q1,272,4.41,95.59,0.0,270,37.41,62.59,0.0,542,20.85,79.15,0.0
creator,6755,many,Q4,1,0.0,100.0,0.0,2,50.0,50.0,0.0,3,33.33,66.67,0.0
creator,6755,many,Q3,1,0.0,100.0,0.0,2,50.0,50.0,0.0,3,33.33,66.67,0.0
creator,6755,many,Q2,1,0.0,100.0,0.0,2,0.0,100.0,0.0,3,0.0,100.0,0.0
creator,6755,many,Q1,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
creator,6755,single,Q4,567,4.76,95.24,0.0,1000,13.0,87.0,0.0,1567,10.02,89.98,0.0
creator,6755,single,Q3,567,6.17,93.83,0.0,1000,10.6,89.3,0.1,1567,9.0,90.94,0.06
creator,6755,single,Q2,567,7.94,92.06,0.0,1000,23.7,76.2,0.1,1567,18.0,81.94,0.06
creator,6755,single,Q1,564,10.99,89.01,0.0,1000,33.2,66.8,0.0,1564,25.19,74.81,0.0
director,8321,few,Q4,355,0.0,100.0,0.0,281,1.42,98.58,0.0,636,0.63,99.37,0.0
director,8321,few,Q3,355,0.0,100.0,0.0,281,2.14,97.86,0.0,636,0.94,99.06,0.0
director,8321,few,Q2,355,0.85,99.15,0.0,281,4.27,95.73,0.0,636,2.36,97.64,0.0
director,8321,few,Q1,354,0.0,100.0,0.0,278,7.91,92.09,0.0,632,3.48,96.52,0.0
director,8321,many,Q4,2,0.0,100.0,0.0,2,0.0,100.0,0.0,4,0.0,100.0,0.0
director,8321,many,Q3,2,0.0,100.0,0.0,2,0.0,100.0,0.0,4,0.0,100.0,0.0
director,8321,many,Q2,1,0.0,100.0,0.0,1,0.0,100.0,0.0,2,0.0,100.0,0.0
director,8321,single,Q4,406,1.72,98.28,0.0,1000,14.7,85.3,0.0,1406,10.95,89.05,0.0
director,8321,single,Q3,406,0.25,99.75,0.0,1000,8.2,91.8,0.0,1406,5.9,94.1,0.0
director,8321,single,Q2,406,1.23,98.77,0.0,1000,10.1,89.9,0.0,1406,7.54,92.46,0.0
director,8321,single,Q1,405,2.72,97.28,0.0,1000,14.5,85.5,0.0,1405,11.1,88.9,0.0
executiveProducer,7193,few,Q4,302,0.33,99.67,0.0,411,2.68,97.32,0.0,713,1.68,98.32,0.0
executiveProducer,7193,few,Q3,302,0.33,99.67,0.0,411,3.16,96.84,0.0,713,1.96,98.04,0.0
executiveProducer,7193,few,Q2,302,1.32,98.68,0.0,411,10.71,89.29,0.0,713,6.73,93.27,0.0
executiveProducer,7193,few,Q1,301,3.99,96.01,0.0,411,10.22,89.78,0.0,712,7.58,92.42,0.0
executiveProducer,7193,many,Q4,1,0.0,100.0,0.0,4,0.0,100.0,0.0,5,0.0,100.0,0.0
executiveProducer,7193,many,Q3,1,0.0,100.0,0.0,4,0.0,100.0,0.0,5,0.0,100.0,0.0
executiveProducer,7193,many,Q2,1,0.0,100.0,0.0,4,0.0,100.0,0.0,5,0.0,100.0,0.0
executiveProducer,7193,many,Q1,0,0.0,0.0,0.0,2,0.0,100.0,0.0,2,0.0,100.0,0.0
executiveProducer,7193,single,Q4,404,2.72,97.28,0.0,715,4.34,95.66,0.0,1119,3.75,96.25,0.0
