metric,group,elasticity
exact_match,single,2.154040880516645
exact_match,few,0.2623407458492341
exact_match,many,-0.0
exact_match,few+many,0.1264300456773628
edit_sim,single,2.2044646771334895
edit_sim,few,0.3466809482105111
edit_sim,many,-0.0
edit_sim,few+many,0.1666308349514263
jaccard_sim,single,2.3752150215292596
jaccard_sim,few,0.7811990094714216
jaccard_sim,many,2.0881613436168966
jaccard_sim,few+many,1.4680822723538336
rouge_l,single,2.2765080519617995
rouge_l,few,0.609814193263374
rouge_l,many,-0.0
rouge_l,few+many,0.2889038747663327
bleu,single,0.1012245894023069
bleu,few,0.2871612389043305
bleu,many,-0.0
bleu,few+many,0.1327047827113832
bert_cosine,single,2.3368578546918553
bert_cosine,few,1.030528535286666
bert_cosine,many,2.0881613436168966
bert_cosine,few+many,1.5840117120695096
