pattern_id,predicate,sup,card_class,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,starring,60547,few,0.25,0.25,1.25,0.6,0.25,1.65,4000
P1,starring,60547,many,0.0,0.0,0.0,0.0,0.0,0.0,9
P1,starring,60547,single,6.99896694214876,7.050619834710743,7.902892561983471,7.412190082644628,0.2840909090909091,7.257231404958678,3872
P10,narrator,1897,few,0.0,0.0,0.904977375565611,0.0,0.0,0.904977375565611,221
P10,narrator,1897,many,0.0,0.0,0.0,0.0,0.0,0.0,11
P10,narrator,1897,single,4.478764478764479,4.478764478764479,4.787644787644788,4.555984555984556,0.0772200772200772,4.555984555984556,1295
P11,showJudge,886,few,0.0,0.0,1.3574660633484164,0.4524886877828055,0.4524886877828055,2.262443438914027,221
P11,showJudge,886,many,0.0,0.0,0.0,0.0,0.0,0.0,2
P11,showJudge,886,single,3.587443946188341,3.587443946188341,6.278026905829597,3.587443946188341,0.0,3.587443946188341,223
P11,storyEditor,27,few,0.0,0.0,0.0,0.0,0.0,0.0,108
P11,storyEditor,27,many,0.0,0.0,0.0,0.0,0.0,0.0,115
P11,storyEditor,27,single,0.4484304932735426,0.4484304932735426,0.8968609865470852,0.8968609865470852,0.0,0.4484304932735426,223
P12,creativeDirector,192,few,0.0,0.0,0.0,0.0,0.0,0.0,9
P12,creativeDirector,192,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P12,creativeDirector,192,single,1.7751479289940828,1.7751479289940828,1.7751479289940828,1.7751479289940828,0.0,1.7751479289940828,169
P2,director,8321,few,0.2676181980374665,0.4460303300624442,0.8028545941123997,0.8028545941123997,0.3568242640499554,1.070472792149866,1121
P2,director,8321,many,0.0,0.0,0.0,0.0,0.0,0.0,5
P2,director,8321,single,2.675,2.75,3.1,2.9250000000000003,0.075,2.9000000000000004,4000
P3,executiveProducer,7193,few,0.851581508515815,0.851581508515815,1.3990267639902676,1.3990267639902676,0.97323600973236,2.3722627737226274,1644
P3,executiveProducer,7193,many,0.0,0.0,0.0,0.0,0.0,0.0,14
P3,executiveProducer,7193,single,3.217908359566282,3.2528856243441764,4.197271773347324,3.3927946834557536,0.1748863238894718,3.5676810073452256,2859
P4,presenter,6955,few,0.5200594353640415,0.8915304606240713,1.9316493313521543,1.5601783060921248,0.5200594353640415,2.0059435364041605,1346
P4,presenter,6955,many,0.0,0.0,0.0,0.0,0.0,0.0,2
P4,presenter,6955,single,15.656909462219197,16.099387338325393,17.835262083049695,17.052416609938735,0.136147038801906,16.8141592920354,2938
P5,creator,6755,few,2.0257826887661143,3.0386740331491713,6.998158379373849,5.616942909760589,2.7624309392265194,9.484346224677717,1086
P5,creator,6755,many,0.0,0.0,50.0,0.0,0.0,50.0,6
P5,creator,6755,single,7.1,7.275,8.649999999999999,8.175,0.65,8.05,4000
P6,voice,6364,few,0.1769911504424778,0.1769911504424778,1.0619469026548671,0.1769911504424778,0.1769911504424778,1.327433628318584,1130
P6,voice,6364,many,0.0,0.0,0.0,0.0,0.0,0.0,6
P6,voice,6364,single,3.636363636363636,3.636363636363636,4.7272727272727275,3.636363636363636,0.0,3.636363636363636,275
P7,producer,4764,few,1.1862396204033214,1.4234875444839856,1.8979833926453145,2.135231316725979,1.1862396204033214,3.4400948991696323,843
P7,producer,4764,many,0.0,0.0,0.0,0.0,0.0,0.0,3
P7,producer,4764,single,2.4859943977591037,2.6260504201680672,3.466386554621849,2.8361344537815127,0.1400560224089636,2.696078431372549,2856
P8,author,4612,few,0.2506265664160401,0.3759398496240601,2.0050125313283207,1.0025062656641603,0.5012531328320802,2.1303258145363406,798
P8,author,4612,many,0.0,0.0,0.0,0.0,0.0,0.0,4
P8,author,4612,single,3.168155970755483,3.290008123476848,4.224207961007311,3.8180341186027618,0.1624695369618196,3.4930950446791225,2462
P9,composer,2771,few,0.0,0.0,1.1406844106463878,0.7604562737642585,0.7604562737642585,0.7604562737642585,263
P9,composer,2771,many,0.0,0.0,0.0,0.0,0.0,0.0,2
P9,composer,2771,single,1.7674418604651163,1.813953488372093,2.27906976744186,1.813953488372093,0.0465116279069767,1.8604651162790695,2150
