metric,group,elasticity
exact_match,single,2.0736242851762627
exact_match,few,0.1258146940859437
exact_match,many,-0.0
exact_match,few+many,0.061574402208646
edit_sim,single,2.0730446679051817
edit_sim,few,0.1592281542161545
edit_sim,many,-0.0
edit_sim,few+many,0.0776721041970122
jaccard_sim,single,2.361110053098866
jaccard_sim,few,0.0589416318212493
jaccard_sim,many,2.0881613436168966
jaccard_sim,few+many,1.1076529076127606
rouge_l,single,2.23443795674966
rouge_l,few,0.0150322423663896
rouge_l,many,-0.0
rouge_l,few+many,-0.0118072008627785
bleu,single,0.0539656099801277
bleu,few,0.1167454657514169
bleu,many,-0.0
bleu,few+many,0.0538871539785439
bert_cosine,single,2.197106132393323
bert_cosine,few,0.0642706816074914
bert_cosine,many,1.1280366717325765
bert_cosine,few+many,0.6278904517405218
