pattern_id,predicate,sup,card_class,pr_quartile,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,starring,60547,few,Q4,0.3,0.3,0.5,0.3,0.3,0.3,1000
P1,starring,60547,few,Q3,0.0,0.1,0.4,0.2,0.0,0.4,1000
P1,starring,60547,few,Q2,0.0,0.0,0.3,0.1,0.0,0.5,1000
P1,starring,60547,few,Q1,0.3,0.3,1.0,0.4,0.2,1.4,1000
P1,starring,60547,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,single,Q4,5.8884297520661155,5.8884297520661155,6.8181818181818175,6.40495867768595,0.1033057851239669,6.198347107438017,968
P1,starring,60547,single,Q3,6.921487603305786,6.921487603305786,7.644628099173553,7.334710743801653,0.3099173553719008,7.334710743801653,968
P1,starring,60547,single,Q2,7.334710743801653,7.43801652892562,8.574380165289258,7.747933884297521,0.1033057851239669,7.644628099173553,968
P1,starring,60547,single,Q1,9.090909090909092,9.194214876033058,10.020661157024794,9.400826446280991,0.1033057851239669,9.50413223140496,968
P10,narrator,1897,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,56
P10,narrator,1897,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,56
P10,narrator,1897,few,Q2,0.0,0.0,1.7857142857142856,0.0,0.0,0.0,56
P10,narrator,1897,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,53
P10,narrator,1897,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,3
P10,narrator,1897,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,3
P10,narrator,1897,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,3
P10,narrator,1897,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,2
P10,narrator,1897,single,Q4,0.3086419753086419,0.6172839506172839,0.9259259259259258,0.6172839506172839,0.0,0.6172839506172839,324
P10,narrator,1897,single,Q3,3.3950617283950617,3.7037037037037033,3.7037037037037033,3.7037037037037033,0.0,3.7037037037037033,324
P10,narrator,1897,single,Q2,5.246913580246913,5.246913580246913,5.246913580246913,5.246913580246913,0.0,5.246913580246913,324
P10,narrator,1897,single,Q1,5.572755417956656,5.572755417956656,5.572755417956656,5.572755417956656,0.3095975232198142,5.572755417956656,323
P11,showJudge,886,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,56
P11,showJudge,886,few,Q3,0.0,0.0,3.571428571428571,1.7857142857142856,1.7857142857142856,1.7857142857142856,56
P11,showJudge,886,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,56
P11,showJudge,886,few,Q1,0.0,0.0,1.8867924528301887,0.0,0.0,3.7735849056603774,53
P11,showJudge,886,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,56
P11,showJudge,886,single,Q3,1.7857142857142856,1.7857142857142856,1.7857142857142856,1.7857142857142856,0.0,1.7857142857142856,56
P11,showJudge,886,single,Q2,0.0,1.7857142857142856,0.0,0.0,0.0,0.0,56
