pattern_id,predicate,sup,card_class,pr_quartile,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,starring,60547,few,Q4,0.2,0.2,0.4,0.2,0.2,0.3,1000
P1,starring,60547,few,Q3,0.1,0.2,0.3,0.1,0.1,0.2,1000
P1,starring,60547,few,Q2,0.0,0.0,0.3,0.1,0.0,0.6,1000
P1,starring,60547,few,Q1,0.2,0.3,1.1,0.6,0.1,1.4,1000
P1,starring,60547,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,single,Q4,4.338842975206612,4.338842975206612,4.75206611570248,4.75206611570248,0.1033057851239669,4.545454545454546,968
P1,starring,60547,single,Q3,5.371900826446281,5.371900826446281,5.8884297520661155,5.785123966942149,0.2066115702479339,5.578512396694215,968
P1,starring,60547,single,Q2,5.1652892561983474,5.268595041322314,5.681818181818182,5.475206611570248,0.2066115702479339,5.371900826446281,968
P1,starring,60547,single,Q1,6.6115702479338845,6.6115702479338845,7.43801652892562,6.8181818181818175,0.0,7.128099173553719,968
P10,narrator,1897,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,56
P10,narrator,1897,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,56
P10,narrator,1897,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,56
P10,narrator,1897,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,53
P10,narrator,1897,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,3
P10,narrator,1897,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,3
P10,narrator,1897,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,3
P10,narrator,1897,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,2
P10,narrator,1897,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,324
P10,narrator,1897,single,Q3,2.1604938271604937,2.1604938271604937,2.4691358024691357,2.1604938271604937,0.0,2.1604938271604937,324
P10,narrator,1897,single,Q2,4.012345679012346,4.012345679012346,4.012345679012346,4.012345679012346,0.0,4.012345679012346,324
