pattern_id,predicate,sup,card_class,pr_quartile,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,starring,60547,few,Q4,0.0,0.1,0.7000000000000001,0.3,0.0,0.7000000000000001,1000
P1,starring,60547,few,Q3,0.0,0.1,1.2,0.2,0.1,0.8,1000
P1,starring,60547,few,Q2,0.0,0.0,0.5,0.2,0.0,0.8,1000
P1,starring,60547,few,Q1,0.0,0.0,1.9,0.7000000000000001,0.1,2.1,1000
P1,starring,60547,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,single,Q4,5.268595041322314,5.268595041322314,6.508264462809918,6.301652892561983,0.1033057851239669,6.301652892561983,968
P1,starring,60547,single,Q3,5.681818181818182,5.8884297520661155,6.40495867768595,6.095041322314049,0.1033057851239669,6.508264462809918,968
P1,starring,60547,single,Q2,5.06198347107438,5.475206611570248,5.681818181818182,5.8884297520661155,0.2066115702479339,6.301652892561983,968
P1,starring,60547,single,Q1,7.851239669421488,8.264462809917356,8.677685950413224,8.677685950413224,0.3099173553719008,8.574380165289258,968
P10,narrator,1897,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,56
P10,narrator,1897,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,56
P10,narrator,1897,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,56
P10,narrator,1897,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,53
P10,narrator,1897,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,3
P10,narrator,1897,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,3
P10,narrator,1897,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,3
P10,narrator,1897,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,2
P10,narrator,1897,single,Q4,0.6172839506172839,0.6172839506172839,1.2345679012345678,0.9259259259259258,0.0,0.9259259259259258,324
P10,narrator,1897,single,Q3,3.0864197530864197,3.0864197530864197,3.7037037037037033,3.3950617283950617,0.0,3.3950617283950617,324
P10,narrator,1897,single,Q2,3.7037037037037033,3.7037037037037033,4.012345679012346,4.012345679012346,0.0,4.320987654320987,324
P10,narrator,1897,single,Q1,2.786377708978328,2.786377708978328,3.095975232198142,3.095975232198142,0.0,2.786377708978328,323
P11,showJudge,886,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,56
P11,showJudge,886,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,56
P11,showJudge,886,few,Q2,0.0,0.0,0.0,1.7857142857142856,0.0,0.0,56
P11,showJudge,886,few,Q1,0.0,0.0,1.8867924528301887,0.0,0.0,3.7735849056603774,53
P11,showJudge,886,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,56
P11,showJudge,886,single,Q3,1.7857142857142856,1.7857142857142856,1.7857142857142856,1.7857142857142856,0.0,1.7857142857142856,56
P11,showJudge,886,single,Q2,1.7857142857142856,3.571428571428571,1.7857142857142856,1.7857142857142856,0.0,1.7857142857142856,56
P11,showJudge,886,single,Q1,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,0.0,9.090909090909092,55
P11,storyEditor,27,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,27
P11,storyEditor,27,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,27
P11,storyEditor,27,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,27
P11,storyEditor,27,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,27
P11,storyEditor,27,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,29
