metric,group,elasticity
exact_match,single,1.658237519629069
exact_match,few,0.0621308304394826
exact_match,many,-0.0
exact_match,few+many,0.0294245501604022
edit_sim,single,1.8408897146982404
edit_sim,few,0.1462325975239422
edit_sim,many,-0.0
edit_sim,few+many,0.0667120988040958
jaccard_sim,single,2.2142664326460064
jaccard_sim,few,0.5551926200559415
jaccard_sim,many,1.3921075624112642
jaccard_sim,few+many,1.0023473203815665
rouge_l,single,2.113067730331706
rouge_l,few,0.3281729654617175
rouge_l,many,-0.0
rouge_l,few+many,0.1560343795713424
bleu,single,0.0808475717518663
bleu,few,0.0896461299097452
bleu,many,-0.0
bleu,few+many,0.0429135777820032
bert_cosine,single,2.0556235435196872
bert_cosine,few,0.5113487216644954
bert_cosine,many,1.3921075624112642
bert_cosine,few+many,0.9734442616920106
