pattern_id,predicate,sup,card_class,pr_quartile,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,starring,60547,few,Q4,0.5,0.5,1.0,0.8,0.5,1.0,1000
P1,starring,60547,few,Q3,0.0,0.1,1.1,0.5,0.0,1.5,1000
P1,starring,60547,few,Q2,0.1,0.1,0.8999999999999999,0.6,0.2,1.5,1000
P1,starring,60547,few,Q1,0.2,0.3,2.1,0.8999999999999999,0.3,2.9000000000000004,1000
P1,starring,60547,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,single,Q4,9.81404958677686,10.12396694214876,10.743801652892564,10.743801652892564,0.1033057851239669,10.640495867768596,968
P1,starring,60547,single,Q3,8.884297520661157,9.194214876033058,10.43388429752066,9.400826446280991,0.2066115702479339,9.81404958677686,968
P1,starring,60547,single,Q2,9.81404958677686,9.917355371900827,10.743801652892564,10.227272727272728,0.4132231404958678,10.227272727272728,968
P1,starring,60547,single,Q1,12.603305785123966,12.913223140495866,14.049586776859504,12.8099173553719,0.2066115702479339,13.119834710743802,968
P10,narrator,1897,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,56
P10,narrator,1897,few,Q3,0.0,0.0,1.7857142857142856,0.0,0.0,1.7857142857142856,56
P10,narrator,1897,few,Q2,0.0,0.0,1.7857142857142856,0.0,0.0,0.0,56
P10,narrator,1897,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,53
P10,narrator,1897,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,3
P10,narrator,1897,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,3
P10,narrator,1897,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,3
P10,narrator,1897,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,2
P10,narrator,1897,single,Q4,2.1604938271604937,2.1604938271604937,2.4691358024691357,2.4691358024691357,0.0,2.1604938271604937,324
P10,narrator,1897,single,Q3,5.555555555555555,5.864197530864197,6.172839506172839,5.864197530864197,0.0,5.864197530864197,324
P10,narrator,1897,single,Q2,7.098765432098765,7.098765432098765,7.098765432098765,7.098765432098765,0.0,7.098765432098765,324
P10,narrator,1897,single,Q1,8.978328173374612,9.287925696594428,9.907120743034056,9.907120743034056,1.547987616099071,9.907120743034056,323
P11,showJudge,886,few,Q4,1.7857142857142856,1.7857142857142856,3.571428571428571,3.571428571428571,1.7857142857142856,1.7857142857142856,56
P11,showJudge,886,few,Q3,0.0,0.0,3.571428571428571,1.7857142857142856,0.0,3.571428571428571,56
P11,showJudge,886,few,Q2,0.0,0.0,0.0,0.0,0.0,1.7857142857142856,56
P11,showJudge,886,few,Q1,0.0,0.0,13.20754716981132,3.7735849056603774,0.0,11.320754716981131,53
P11,showJudge,886,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,56
P11,showJudge,886,single,Q3,5.357142857142857,5.357142857142857,5.357142857142857,5.357142857142857,1.7857142857142856,5.357142857142857,56
P11,showJudge,886,single,Q2,3.571428571428571,5.357142857142857,5.357142857142857,3.571428571428571,0.0,3.571428571428571,56
P11,showJudge,886,single,Q1,14.545454545454543,14.545454545454543,16.363636363636363,14.545454545454543,0.0,14.545454545454543,55
P11,storyEditor,27,few,Q4,3.7037037037037033,3.7037037037037033,3.7037037037037033,3.7037037037037033,3.7037037037037033,3.7037037037037033,27
P11,storyEditor,27,few,Q3,0.0,0.0,3.7037037037037033,3.7037037037037033,0.0,3.7037037037037033,27
P11,storyEditor,27,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,27
P11,storyEditor,27,few,Q1,0.0,0.0,3.7037037037037033,3.7037037037037033,0.0,3.7037037037037033,27
P11,storyEditor,27,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,29
P11,storyEditor,27,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,29
P11,storyEditor,27,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,29
P11,storyEditor,27,many,Q1,0.0,0.0,3.571428571428571,0.0,0.0,7.142857142857142,28
P11,storyEditor,27,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,56
P11,storyEditor,27,single,Q3,1.7857142857142856,1.7857142857142856,1.7857142857142856,1.7857142857142856,0.0,1.7857142857142856,56
P11,storyEditor,27,single,Q2,0.0,0.0,0.0,0.0,0.0,0.0,56
P11,storyEditor,27,single,Q1,0.0,0.0,0.0,0.0,0.0,0.0,55
P12,creativeDirector,192,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,3
P12,creativeDirector,192,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,3
P12,creativeDirector,192,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,3
P12,creativeDirector,192,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P12,creativeDirector,192,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,43
P12,creativeDirector,192,single,Q3,0.0,0.0,0.0,0.0,0.0,0.0,43
P12,creativeDirector,192,single,Q2,0.0,0.0,0.0,0.0,0.0,0.0,43
P12,creativeDirector,192,single,Q1,2.5,2.5,2.5,2.5,0.0,2.5,40
P2,director,8321,few,Q4,0.3558718861209964,0.3558718861209964,0.7117437722419928,0.3558718861209964,0.3558718861209964,0.7117437722419928,281
P2,director,8321,few,Q3,0.0,0.0,0.3558718861209964,0.3558718861209964,0.3558718861209964,0.7117437722419928,281
P2,director,8321,few,Q2,0.3558718861209964,0.3558718861209964,0.7117437722419928,0.7117437722419928,0.7117437722419928,2.491103202846975,281
P2,director,8321,few,Q1,1.4388489208633095,1.7985611510791366,3.237410071942446,2.158273381294964,1.4388489208633095,5.0359712230215825,278
P2,director,8321,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,2
P2,director,8321,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,2
P2,director,8321,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,director,8321,single,Q4,8.200000000000001,8.200000000000001,10.2,10.2,0.5,8.6,1000
P2,director,8321,single,Q3,4.6,4.7,5.7,5.7,0.3,4.8,1000
P2,director,8321,single,Q2,7.3,7.5,8.5,8.4,0.5,7.6,1000
P2,director,8321,single,Q1,9.7,9.9,11.0,10.8,0.8999999999999999,10.1,1000
P3,executiveProducer,7193,few,Q4,0.48661800486618,0.7299270072992701,1.45985401459854,1.2165450121654502,0.48661800486618,1.45985401459854,411
P3,executiveProducer,7193,few,Q3,0.97323600973236,0.97323600973236,2.4330900243309004,1.70316301703163,1.2165450121654502,3.64963503649635,411
P3,executiveProducer,7193,few,Q2,2.67639902676399,2.9197080291970803,6.326034063260341,4.37956204379562,3.1630170316301705,8.02919708029197,411
P3,executiveProducer,7193,few,Q1,2.4330900243309004,2.9197080291970803,6.569343065693431,6.81265206812652,3.64963503649635,10.70559610705596,411
P3,executiveProducer,7193,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,4
P3,executiveProducer,7193,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,4
P3,executiveProducer,7193,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,4
P3,executiveProducer,7193,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,2
P3,executiveProducer,7193,single,Q4,2.5174825174825175,2.5174825174825175,3.4965034965034967,3.076923076923077,0.1398601398601398,2.937062937062937,715
P3,executiveProducer,7193,single,Q3,3.916083916083916,4.195804195804196,4.755244755244755,4.475524475524476,0.4195804195804196,4.475524475524476,715
P3,executiveProducer,7193,single,Q2,5.594405594405594,5.734265734265734,7.272727272727272,6.013986013986014,0.0,6.433566433566433,715
P3,executiveProducer,7193,single,Q1,12.46498599439776,13.165266106442578,15.406162464985997,14.145658263305322,0.2801120448179272,14.425770308123248,714
P4,presenter,6955,few,Q4,0.5934718100890208,0.5934718100890208,1.7804154302670625,1.1869436201780417,0.8902077151335311,2.3738872403560833,337
P4,presenter,6955,few,Q3,1.1869436201780417,1.1869436201780417,2.3738872403560833,1.7804154302670625,1.1869436201780417,1.483679525222552,337
P4,presenter,6955,few,Q2,1.483679525222552,1.483679525222552,2.967359050445104,3.2640949554896146,2.0771513353115725,4.747774480712167,337
P4,presenter,6955,few,Q1,1.1940298507462688,1.1940298507462688,5.074626865671641,2.3880597014925375,1.791044776119403,5.3731343283582085,335
P4,presenter,6955,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P4,presenter,6955,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P4,presenter,6955,single,Q4,14.013605442176871,14.421768707482991,15.918367346938776,15.64625850340136,0.4081632653061224,15.23809523809524,735
P4,presenter,6955,single,Q3,13.877551020408164,14.14965986394558,16.3265306122449,15.374149659863946,0.2721088435374149,14.69387755102041,735
P4,presenter,6955,single,Q2,14.69387755102041,15.10204081632653,16.870748299319725,15.782312925170066,0.1360544217687074,15.374149659863946,735
P4,presenter,6955,single,Q1,27.012278308321964,28.240109140518417,29.058663028649384,29.058663028649384,0.1364256480218281,28.785811732605733,733
P5,creator,6755,few,Q4,1.8382352941176472,2.2058823529411766,4.411764705882353,4.411764705882353,2.2058823529411766,8.455882352941178,272
P5,creator,6755,few,Q3,4.044117647058823,4.044117647058823,8.088235294117647,7.352941176470589,5.147058823529411,8.823529411764707,272
P5,creator,6755,few,Q2,8.088235294117647,9.191176470588236,15.073529411764705,12.132352941176473,8.455882352941178,20.22058823529412,272
P5,creator,6755,few,Q1,10.0,11.11111111111111,21.11111111111111,17.037037037037038,10.74074074074074,34.81481481481482,270
P5,creator,6755,many,Q4,0.0,0.0,0.0,0.0,0.0,50.0,2
P5,creator,6755,many,Q3,0.0,0.0,0.0,0.0,0.0,50.0,2
P5,creator,6755,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,2
P5,creator,6755,single,Q4,10.0,10.1,11.9,11.3,1.0,10.8,1000
P5,creator,6755,single,Q3,8.7,8.7,10.6,9.9,0.5,9.4,1000
P5,creator,6755,single,Q2,20.3,20.8,23.7,22.6,1.7999999999999998,22.4,1000
P5,creator,6755,single,Q1,26.1,27.200000000000003,30.9,29.4,2.6,28.6,1000
P6,voice,6364,few,Q4,0.0,0.0,0.0,0.0,0.0,0.3533568904593639,283
P6,voice,6364,few,Q3,0.0,0.0,0.0,0.0,0.0,0.3533568904593639,283
P6,voice,6364,few,Q2,0.0,0.0,0.3533568904593639,0.0,0.0,0.3533568904593639,283
P6,voice,6364,few,Q1,0.0,0.0,1.0676156583629894,0.3558718861209964,0.3558718861209964,1.4234875444839856,281
P6,voice,6364,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,2
P6,voice,6364,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,2
P6,voice,6364,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,2
P6,voice,6364,single,Q4,1.4492753623188406,1.4492753623188406,2.898550724637681,2.898550724637681,0.0,1.4492753623188406,69
P6,voice,6364,single,Q3,2.898550724637681,2.898550724637681,2.898550724637681,2.898550724637681,0.0,2.898550724637681,69
P6,voice,6364,single,Q2,2.898550724637681,2.898550724637681,2.898550724637681,2.898550724637681,0.0,2.898550724637681,69
P6,voice,6364,single,Q1,8.823529411764707,8.823529411764707,8.823529411764707,8.823529411764707,0.0,8.823529411764707,68
P7,producer,4764,few,Q4,0.0,0.0,0.9478672985781992,0.4739336492890995,0.0,0.9478672985781992,211
P7,producer,4764,few,Q3,0.0,0.0,0.4739336492890995,0.0,0.0,0.4739336492890995,211
P7,producer,4764,few,Q2,2.3696682464454977,2.3696682464454977,4.265402843601896,2.3696682464454977,2.3696682464454977,5.687203791469194,211
P7,producer,4764,few,Q1,5.238095238095238,6.190476190476191,7.142857142857142,6.666666666666667,5.238095238095238,9.523809523809524,210
P7,producer,4764,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P7,producer,4764,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P7,producer,4764,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P7,producer,4764,single,Q4,2.100840336134454,2.380952380952381,2.5210084033613445,2.5210084033613445,0.1400560224089636,2.5210084033613445,714
