pattern_id,predicate,sup,card_class,pr_quartile,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,starring,60547,few,Q4,0.0,0.3,0.6,0.5,0.0,0.6,1000
P1,starring,60547,few,Q3,0.0,0.0,0.7000000000000001,0.2,0.0,0.7000000000000001,1000
P1,starring,60547,few,Q2,0.0,0.0,1.2,0.3,0.2,1.2,1000
P1,starring,60547,few,Q1,0.2,0.2,2.5,0.7000000000000001,0.2,3.1,1000
P1,starring,60547,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,single,Q4,4.028925619834711,4.855371900826446,5.268595041322314,5.681818181818182,0.0,5.371900826446281,968
P1,starring,60547,single,Q3,3.822314049586777,4.235537190082645,5.06198347107438,4.648760330578512,0.1033057851239669,4.75206611570248,968
P1,starring,60547,single,Q2,5.06198347107438,5.8884297520661155,7.024793388429752,6.40495867768595,0.1033057851239669,6.301652892561983,968
P1,starring,60547,single,Q1,6.6115702479338845,7.231404958677685,8.264462809917356,7.851239669421488,0.3099173553719008,7.851239669421488,968
P10,narrator,1897,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,56
P10,narrator,1897,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,56
P10,narrator,1897,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,56
P10,narrator,1897,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,53
P10,narrator,1897,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,3
P10,narrator,1897,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,3
P10,narrator,1897,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,3
P10,narrator,1897,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,2
P10,narrator,1897,single,Q4,0.6172839506172839,0.9259259259259258,1.2345679012345678,0.9259259259259258,0.0,0.9259259259259258,324
P10,narrator,1897,single,Q3,1.5432098765432098,2.1604938271604937,2.1604938271604937,2.4691358024691357,0.0,2.7777777777777777,324
P10,narrator,1897,single,Q2,3.7037037037037033,4.012345679012346,4.320987654320987,4.320987654320987,0.0,4.62962962962963,324
P10,narrator,1897,single,Q1,2.786377708978328,3.7151702786377703,3.4055727554179565,4.024767801857585,0.3095975232198142,4.643962848297214,323
P11,showJudge,886,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,56
P11,showJudge,886,few,Q3,0.0,0.0,0.0,0.0,0.0,1.7857142857142856,56
P11,showJudge,886,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,56
P11,showJudge,886,few,Q1,0.0,1.8867924528301887,3.7735849056603774,1.8867924528301887,0.0,7.547169811320755,53
P11,showJudge,886,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,56
P11,showJudge,886,single,Q3,1.7857142857142856,1.7857142857142856,1.7857142857142856,1.7857142857142856,0.0,1.7857142857142856,56
P11,showJudge,886,single,Q2,3.571428571428571,5.357142857142857,3.571428571428571,3.571428571428571,0.0,3.571428571428571,56
P11,showJudge,886,single,Q1,10.909090909090908,10.909090909090908,10.909090909090908,10.909090909090908,0.0,10.909090909090908,55
P11,storyEditor,27,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,27
P11,storyEditor,27,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,27
P11,storyEditor,27,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,27
P11,storyEditor,27,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,27
P11,storyEditor,27,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,29
P11,storyEditor,27,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,29
P11,storyEditor,27,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,29
P11,storyEditor,27,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,28
P11,storyEditor,27,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,56
P11,storyEditor,27,single,Q3,0.0,0.0,0.0,0.0,0.0,0.0,56
P11,storyEditor,27,single,Q2,0.0,0.0,0.0,0.0,0.0,0.0,56
P11,storyEditor,27,single,Q1,0.0,0.0,0.0,0.0,0.0,0.0,55
P12,creativeDirector,192,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,3
P12,creativeDirector,192,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,3
P12,creativeDirector,192,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,3
P12,creativeDirector,192,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P12,creativeDirector,192,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,43
P12,creativeDirector,192,single,Q3,0.0,0.0,0.0,0.0,0.0,0.0,43
P12,creativeDirector,192,single,Q2,2.3255813953488373,2.3255813953488373,2.3255813953488373,2.3255813953488373,0.0,2.3255813953488373,43
P12,creativeDirector,192,single,Q1,0.0,0.0,0.0,0.0,0.0,0.0,40
P2,director,8321,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,281
P2,director,8321,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,281
P2,director,8321,few,Q2,0.3558718861209964,0.3558718861209964,0.3558718861209964,0.3558718861209964,0.3558718861209964,0.7117437722419928,281
P2,director,8321,few,Q1,0.3597122302158274,0.3597122302158274,0.3597122302158274,0.7194244604316548,0.3597122302158274,0.7194244604316548,278
P2,director,8321,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,2
P2,director,8321,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,2
P2,director,8321,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,director,8321,single,Q4,2.1999999999999997,2.4,2.4,2.5,0.1,2.5,1000
P2,director,8321,single,Q3,1.9,2.0,2.3,2.3,0.1,2.1,1000
P2,director,8321,single,Q2,3.1,3.2,3.5999999999999996,3.5000000000000004,0.3,3.5000000000000004,1000
P2,director,8321,single,Q1,3.7,3.9,4.7,4.5,0.4,4.1000000000000005,1000
P3,executiveProducer,7193,few,Q4,0.0,0.0,0.0,0.24330900243309,0.0,0.0,411
P3,executiveProducer,7193,few,Q3,0.0,0.0,0.97323600973236,0.7299270072992701,0.0,0.97323600973236,411
