pattern_id,predicate,sup,card_class,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,starring,60547,few,0.025,0.05,0.6,0.325,0.125,0.4,4000
P1,starring,60547,many,0.0,0.0,0.0,0.0,0.0,0.0,11
P1,starring,60547,single,2.025,2.125,2.775,2.475,1.2,2.55,4000
P10,narrator,1897,few,0.0,0.0,1.1811023622047243,0.7874015748031495,0.0,0.3937007874015747,254
P10,narrator,1897,many,0.0,0.0,0.0,0.0,0.0,0.0,8
P10,narrator,1897,single,0.6718924972004479,0.6718924972004479,1.2318029115341544,0.6718924972004479,0.2239641657334826,0.7838745800671892,893
P11,showJudge,886,few,0.9433962264150944,0.9433962264150944,6.60377358490566,2.8301886792452833,1.8867924528301887,8.49056603773585,106
P11,showJudge,886,many,0.0,0.0,0.0,0.0,0.0,0.0,4
P11,showJudge,886,single,7.142857142857142,7.312925170068027,11.394557823129253,9.693877551020408,5.272108843537415,8.843537414965986,588
P11,storyEditor,27,many,0.0,0.0,0.9090909090909092,0.0,0.0,0.9090909090909092,110
P11,storyEditor,27,single,1.7006802721088436,1.7006802721088436,2.7210884353741496,2.5510204081632653,1.020408163265306,2.0408163265306123,588
P12,creativeDirector,192,few,0.0,0.0,0.0,0.0,0.0,0.0,16
P12,creativeDirector,192,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P12,creativeDirector,192,single,0.0,0.0,1.9230769230769231,1.9230769230769231,0.0,1.9230769230769231,52
P2,director,8321,few,0.0,0.0,0.1409443269908386,0.0704721634954193,0.0,0.0704721634954193,1419
P2,director,8321,many,0.0,0.0,0.0,0.0,0.0,0.0,5
P2,director,8321,single,0.9858287122612448,0.9858287122612448,1.2322858903265557,1.1090573012939002,0.5545286506469501,1.0474430067775724,1623
P3,executiveProducer,7193,few,0.0828500414250207,0.0828500414250207,0.9113504556752278,0.6628003314001657,0.4142502071251036,0.9942004971002486,1207
P3,executiveProducer,7193,many,0.0,0.0,0.0,0.0,0.0,0.0,3
P3,executiveProducer,7193,single,3.217821782178218,3.2797029702970297,4.826732673267327,3.7747524752475248,1.547029702970297,4.207920792079208,1616
P4,presenter,6955,few,0.0802568218298555,0.160513643659711,1.3643659711075442,0.8025682182985553,0.160513643659711,1.5248796147672552,1246
P4,presenter,6955,many,0.0,0.0,0.0,0.0,0.0,0.0,9
P4,presenter,6955,single,3.597122302158273,3.920863309352518,5.431654676258993,4.712230215827338,2.050359712230216,4.676258992805756,2780
P5,creator,6755,few,0.0919117647058823,0.0919117647058823,1.1948529411764706,0.6433823529411764,0.2757352941176471,1.3786764705882353,1088
P5,creator,6755,many,0.0,0.0,0.0,0.0,0.0,0.0,4
P5,creator,6755,single,4.415011037527594,4.503311258278146,6.004415011037527,5.077262693156733,2.4724061810154527,5.253863134657837,2265
P6,voice,6364,few,0.1096491228070175,0.1096491228070175,0.219298245614035,0.1096491228070175,0.1096491228070175,0.3289473684210526,912
P6,voice,6364,many,0.0,0.0,0.0,0.0,0.0,0.0,2
P6,voice,6364,single,1.834862385321101,1.9003931847968545,2.0314547837483614,2.0314547837483614,0.9174311926605504,2.0314547837483614,1526
P7,producer,4764,few,0.0,0.0,0.2624671916010498,0.1312335958005249,0.0,0.1312335958005249,762
P7,producer,4764,many,0.0,0.0,0.0,0.0,0.0,0.0,6
P7,producer,4764,single,1.5222482435597189,1.5222482435597189,2.224824355971897,1.8149882903981265,0.936768149882904,1.6978922716627636,1708
P8,author,4612,few,0.0,0.116822429906542,0.233644859813084,0.233644859813084,0.116822429906542,0.4672897196261681,856
P8,author,4612,many,0.0,0.0,0.0,0.0,0.0,0.0,9
P8,author,4612,single,1.3248542660307367,1.3248542660307367,2.278749337572867,1.96078431372549,0.6359300476947536,1.8547959724430312,1887
P9,composer,2771,few,0.0,0.0,0.4784688995215311,0.0,0.0,0.4784688995215311,418
P9,composer,2771,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P9,composer,2771,single,2.4271844660194173,2.5889967637540456,2.912621359223301,2.5889967637540456,1.132686084142395,2.750809061488673,618
