pattern_id,predicate,sup,card_class,pr_quartile,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,starring,60547,few,Q4,0.0,0.0,0.1,0.1,0.0,0.0,1000
P1,starring,60547,few,Q3,0.0,0.0,0.3,0.3,0.0,0.2,1000
P1,starring,60547,few,Q2,0.0,0.0,0.1,0.1,0.1,0.2,1000
P1,starring,60547,few,Q1,0.0,0.0,0.5,0.5,0.3,0.3,1000
P1,starring,60547,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,2
P1,starring,60547,single,Q4,0.7000000000000001,0.7000000000000001,0.6,0.7000000000000001,0.4,0.7000000000000001,1000
P1,starring,60547,single,Q3,1.2,1.3,1.7999999999999998,1.4,0.7000000000000001,1.4,1000
P1,starring,60547,single,Q2,1.7999999999999998,1.7999999999999998,2.5,2.4,1.4,2.0,1000
P1,starring,60547,single,Q1,3.4000000000000004,3.4000000000000004,4.8,4.5,2.1999999999999997,4.5,1000
P10,narrator,1897,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,64
P10,narrator,1897,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,64
P10,narrator,1897,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,64
P10,narrator,1897,few,Q1,0.0,0.0,0.0,0.0,0.0,3.225806451612903,62
P10,narrator,1897,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,2
P10,narrator,1897,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,2
P10,narrator,1897,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,2
P10,narrator,1897,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,2
P10,narrator,1897,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,224
P10,narrator,1897,single,Q3,1.3392857142857142,1.3392857142857142,2.232142857142857,1.7857142857142856,0.4464285714285714,1.7857142857142856,224
P10,narrator,1897,single,Q2,0.8928571428571428,0.8928571428571428,2.6785714285714284,2.232142857142857,0.4464285714285714,2.232142857142857,224
P10,narrator,1897,single,Q1,1.809954751131222,1.809954751131222,2.262443438914027,2.262443438914027,1.809954751131222,2.7149321266968327,221
P11,showJudge,886,few,Q4,0.0,0.0,3.7037037037037033,3.7037037037037033,0.0,0.0,27
P11,showJudge,886,few,Q3,0.0,0.0,0.0,0.0,0.0,3.7037037037037033,27
P11,showJudge,886,few,Q2,3.7037037037037033,3.7037037037037033,3.7037037037037033,3.7037037037037033,3.7037037037037033,3.7037037037037033,27
P11,showJudge,886,few,Q1,0.0,0.0,4.0,0.0,0.0,12.0,25
P11,showJudge,886,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,single,Q4,3.4013605442176873,3.4013605442176873,5.442176870748299,3.4013605442176873,2.7210884353741496,3.4013605442176873,147
