metric,group,elasticity
exact_match,single,-0.369962887542316
exact_match,few,-0.1505487113658775
exact_match,many,-0.0
exact_match,few+many,-0.0522536831651495
edit_sim,single,-0.4044712061223312
edit_sim,few,-0.1490006427173178
edit_sim,many,-0.0
edit_sim,few+many,-0.051370363653754
jaccard_sim,single,-0.4365195973102484
jaccard_sim,few,-0.992148812076476
jaccard_sim,many,-0.2776402372321094
jaccard_sim,few+many,-0.5170344940684239
rouge_l,single,-0.439551275183564
rouge_l,few,-0.2522232438338296
rouge_l,many,-0.2776402372321094
rouge_l,few+many,-0.2603268609823233
bleu,single,-0.2122931421284434
bleu,few,-0.1300453541596717
bleu,many,-0.2776402372321094
bleu,few+many,-0.2222641849291605
bert_cosine,single,-0.3970965589607961
bert_cosine,few,-0.6729864579040205
bert_cosine,many,-0.5552804744642188
bert_cosine,few+many,-0.5842303573981619
