metric,group,elasticity
exact_match,single,0.0279798229446978
exact_match,few,0.0052715384286454
exact_match,many,-0.0
exact_match,few+many,0.0022268435121731
edit_sim,single,0.0076204219921171
edit_sim,few,0.0052715384286454
edit_sim,many,-0.0
edit_sim,few+many,0.0022268435121731
jaccard_sim,single,-0.2974106259800484
jaccard_sim,few,-0.5268541723896285
jaccard_sim,many,-0.0
jaccard_sim,few+many,-0.175113012470019
rouge_l,single,-0.1922713995825384
rouge_l,few,0.0505524369181766
rouge_l,many,-0.0
rouge_l,few+many,0.0237737653919809
bleu,single,-0.0948996240876948
bleu,few,0.024677905545449
bleu,many,-0.0
bleu,few+many,0.009642517893067
bert_cosine,single,-0.097362851632571
bert_cosine,few,-0.3878814824117167
bert_cosine,many,-0.2776402372321094
bert_cosine,few+many,-0.3088761927557681
