metric,group,elasticity
exact_match,single,0.2336588375266632
exact_match,few,-0.2507695421707403
exact_match,many,-0.0
exact_match,few+many,-0.0840492488168832
edit_sim,single,0.2723306322390842
edit_sim,few,-0.3580010257007987
edit_sim,many,-0.0
edit_sim,few+many,-0.1189838604346415
jaccard_sim,single,0.533441651674691
jaccard_sim,few,-0.2103514355883219
jaccard_sim,many,-0.0
jaccard_sim,few+many,-0.0403858198448494
rouge_l,single,0.388454005197173
rouge_l,few,-0.7291395967493565
rouge_l,many,-0.0
rouge_l,few+many,-0.2344109169542565
bleu,single,0.2422842442459532
bleu,few,-0.4064596746775941
bleu,many,-0.0
bleu,few+many,-0.1309201742732441
bert_cosine,single,0.3423321410359922
bert_cosine,few,-0.587201222811453
bert_cosine,many,-0.5552804744642188
bert_cosine,few+many,-0.5298452266261
