metric,group,elasticity
exact_match,single,-0.0793718712235118
exact_match,few,0.0050115055174784
exact_match,many,-0.0
exact_match,few+many,0.0020835811419661
edit_sim,single,-0.0558404066841954
edit_sim,few,0.0050115055174784
edit_sim,many,-0.0
edit_sim,few+many,0.0020835811419661
jaccard_sim,single,0.1118538697482585
jaccard_sim,few,-0.3062498312943206
jaccard_sim,many,-0.0
jaccard_sim,few+many,-0.0957723971364991
rouge_l,single,-0.250858624296962
rouge_l,few,-0.6810860285603952
rouge_l,many,-0.0
rouge_l,few+many,-0.227777082774709
bleu,single,0.1698799702288926
bleu,few,-0.0931291799985305
bleu,many,-0.0
bleu,few+many,-0.0302679064122359
bert_cosine,single,-0.1402799436487115
bert_cosine,few,-0.5350087997726345
bert_cosine,many,-0.0
bert_cosine,few+many,-0.1731612282351546
