pattern_id,predicate,sup,card_class,pr_quartile,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,starring,60547,few,Q4,0.1,0.2,0.4,0.3,0.2,0.1,1000
P1,starring,60547,few,Q3,0.1,0.2,0.7000000000000001,0.8,0.2,0.6,1000
P1,starring,60547,few,Q2,0.0,0.0,1.0,0.6,0.4,0.5,1000
P1,starring,60547,few,Q1,0.0,0.0,0.8,0.6,0.4,0.8999999999999999,1000
P1,starring,60547,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,2
P1,starring,60547,single,Q4,1.6,1.6,1.6,1.6,1.1,1.6,1000
P1,starring,60547,single,Q3,4.3,4.5,5.6000000000000005,4.9,2.1999999999999997,4.9,1000
P1,starring,60547,single,Q2,2.4,2.5,4.3,3.8,1.3,3.7,1000
P1,starring,60547,single,Q1,5.7,5.800000000000001,7.9,7.000000000000001,3.3000000000000003,7.3,1000
P10,narrator,1897,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,64
P10,narrator,1897,few,Q3,0.0,0.0,0.0,0.0,0.0,1.5625,64
P10,narrator,1897,few,Q2,0.0,0.0,1.5625,1.5625,0.0,0.0,64
P10,narrator,1897,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,62
P10,narrator,1897,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,2
P10,narrator,1897,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,2
P10,narrator,1897,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,2
P10,narrator,1897,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,2
P10,narrator,1897,single,Q4,1.3392857142857142,1.3392857142857142,1.3392857142857142,1.3392857142857142,0.8928571428571428,1.3392857142857142,224
P10,narrator,1897,single,Q3,0.8928571428571428,0.8928571428571428,1.7857142857142856,1.3392857142857142,0.8928571428571428,1.3392857142857142,224
P10,narrator,1897,single,Q2,1.7857142857142856,1.7857142857142856,2.232142857142857,2.232142857142857,0.8928571428571428,1.7857142857142856,224
P10,narrator,1897,single,Q1,2.262443438914027,2.7149321266968327,4.072398190045249,2.7149321266968327,0.904977375565611,2.262443438914027,221
P11,showJudge,886,few,Q4,0.0,0.0,7.4074074074074066,7.4074074074074066,0.0,3.7037037037037033,27
P11,showJudge,886,few,Q3,0.0,3.7037037037037033,3.7037037037037033,7.4074074074074066,7.4074074074074066,11.11111111111111,27
P11,showJudge,886,few,Q2,7.4074074074074066,7.4074074074074066,7.4074074074074066,11.11111111111111,7.4074074074074066,7.4074074074074066,27
P11,showJudge,886,few,Q1,0.0,0.0,0.0,0.0,0.0,4.0,25
P11,showJudge,886,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,single,Q4,3.4013605442176873,3.4013605442176873,5.442176870748299,4.081632653061225,1.3605442176870748,4.081632653061225,147
P11,showJudge,886,single,Q3,10.884353741496598,11.564625850340136,15.64625850340136,14.965986394557824,8.843537414965986,13.60544217687075,147
P11,showJudge,886,single,Q2,8.16326530612245,8.843537414965986,11.564625850340136,11.564625850340136,8.843537414965986,10.20408163265306,147
P11,showJudge,886,single,Q1,7.482993197278912,7.482993197278912,12.925170068027212,8.16326530612245,5.442176870748299,10.884353741496598,147
P11,storyEditor,27,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,28
P11,storyEditor,27,many,Q3,0.0,0.0,0.0,0.0,0.0,7.142857142857142,28
P11,storyEditor,27,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,28
P11,storyEditor,27,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,26
P11,storyEditor,27,single,Q4,0.6802721088435374,0.6802721088435374,0.0,0.6802721088435374,0.0,0.6802721088435374,147
P11,storyEditor,27,single,Q3,1.3605442176870748,2.0408163265306123,2.7210884353741496,2.7210884353741496,2.0408163265306123,3.4013605442176873,147
P11,storyEditor,27,single,Q2,2.0408163265306123,2.0408163265306123,3.4013605442176873,2.0408163265306123,2.0408163265306123,2.7210884353741496,147
P11,storyEditor,27,single,Q1,0.6802721088435374,0.6802721088435374,2.0408163265306123,1.3605442176870748,0.0,1.3605442176870748,147
P12,creativeDirector,192,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,4
P12,creativeDirector,192,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,4
P12,creativeDirector,192,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,4
P12,creativeDirector,192,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,4
P12,creativeDirector,192,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P12,creativeDirector,192,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,13
P12,creativeDirector,192,single,Q3,0.0,0.0,0.0,0.0,0.0,0.0,13
P12,creativeDirector,192,single,Q2,15.384615384615383,15.384615384615383,15.384615384615383,15.384615384615383,0.0,15.384615384615383,13
P12,creativeDirector,192,single,Q1,0.0,0.0,0.0,0.0,0.0,0.0,13
P2,director,8321,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,355
P2,director,8321,few,Q3,0.0,0.0,0.2816901408450704,0.2816901408450704,0.2816901408450704,0.0,355
P2,director,8321,few,Q2,0.0,0.0,0.2816901408450704,0.0,0.0,0.8450704225352111,355
P2,director,8321,few,Q1,0.0,0.0,0.2824858757062147,0.2824858757062147,0.0,0.0,354
P2,director,8321,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,2
P2,director,8321,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,2
P2,director,8321,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,director,8321,single,Q4,0.9852216748768472,1.477832512315271,1.7241379310344829,1.477832512315271,1.2315270935960592,1.7241379310344829,406
P2,director,8321,single,Q3,0.2463054187192118,0.2463054187192118,0.7389162561576355,0.4926108374384236,0.0,0.2463054187192118,406
P2,director,8321,single,Q2,0.9852216748768472,1.2315270935960592,1.477832512315271,1.2315270935960592,0.2463054187192118,1.2315270935960592,406
P2,director,8321,single,Q1,2.2222222222222223,2.2222222222222223,4.197530864197531,3.2098765432098766,1.728395061728395,2.7160493827160495,405
P3,executiveProducer,7193,few,Q4,0.0,0.0,0.3311258278145695,0.3311258278145695,0.0,0.3311258278145695,302
P3,executiveProducer,7193,few,Q3,0.0,0.0,0.6622516556291391,0.3311258278145695,0.3311258278145695,0.3311258278145695,302
P3,executiveProducer,7193,few,Q2,0.0,0.0,0.9933774834437088,0.6622516556291391,0.9933774834437088,1.3245033112582782,302
P3,executiveProducer,7193,few,Q1,0.6644518272425249,0.9966777408637874,2.3255813953488373,1.9933554817275747,0.9966777408637874,3.9867109634551494,301
P3,executiveProducer,7193,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P3,executiveProducer,7193,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P3,executiveProducer,7193,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P3,executiveProducer,7193,single,Q4,2.2277227722772275,2.4752475247524752,2.9702970297029703,2.722772277227723,0.7425742574257426,2.722772277227723,404
P3,executiveProducer,7193,single,Q3,4.702970297029703,4.702970297029703,5.9405940594059405,4.9504950495049505,2.4752475247524752,5.198019801980198,404
P3,executiveProducer,7193,single,Q2,5.198019801980198,5.445544554455446,7.920792079207921,7.1782178217821775,2.722772277227723,7.425742574257425,404
P3,executiveProducer,7193,single,Q1,6.188118811881188,6.188118811881188,9.653465346534654,7.920792079207921,1.98019801980198,7.673267326732673,404
P4,presenter,6955,few,Q4,0.0,0.0,1.9230769230769231,0.3205128205128205,0.3205128205128205,1.282051282051282,312
P4,presenter,6955,few,Q3,0.3205128205128205,0.641025641025641,2.564102564102564,0.9615384615384616,0.3205128205128205,1.6025641025641024,312
P4,presenter,6955,few,Q2,0.3205128205128205,0.641025641025641,1.282051282051282,0.641025641025641,0.3205128205128205,1.282051282051282,312
P4,presenter,6955,few,Q1,0.0,0.3225806451612903,1.6129032258064515,1.2903225806451613,0.3225806451612903,2.258064516129032,310
