metric,group,elasticity
exact_match,single,0.4837199659604094
exact_match,few,0.0514436787983101
exact_match,many,-0.0
exact_match,few+many,0.0205138132428227
edit_sim,single,0.5425397700850285
edit_sim,few,0.0691798553967056
edit_sim,many,-0.0
edit_sim,few+many,0.0275140127230035
jaccard_sim,single,0.7361479180791016
jaccard_sim,few,0.2177945851155688
jaccard_sim,many,-0.5552804744642188
jaccard_sim,few+many,-0.2516117394928656
rouge_l,single,0.629191444351876
rouge_l,few,-0.0653047453087957
rouge_l,many,-0.0
rouge_l,few+many,-0.0019369405240593
bleu,single,0.1640166514658761
bleu,few,0.1582112037266251
bleu,many,-0.0
bleu,few+many,0.0633521679418218
bert_cosine,single,0.6263913733553257
bert_cosine,few,-0.1392521024435165
bert_cosine,many,-0.2776402372321094
bert_cosine,few+many,-0.1984512772945713
