metric,group,elasticity
exact_match,single,0.4188916873435245
exact_match,few,-0.0
exact_match,many,-0.0
exact_match,few+many,-0.0
edit_sim,single,0.5234446899377372
edit_sim,few,0.0201148783396124
edit_sim,many,-0.0
edit_sim,few+many,0.0083349670327496
jaccard_sim,single,0.5815954208550486
jaccard_sim,few,-0.6597979670648941
jaccard_sim,many,-0.0
jaccard_sim,few+many,-0.2226556729429369
rouge_l,single,0.5467671414771382
rouge_l,few,-0.1984745966475157
rouge_l,many,-0.0
rouge_l,few+many,-0.0627703647704713
bleu,single,0.1701189153241687
bleu,few,0.020183734609311
bleu,many,-0.0
bleu,few+many,0.0083356094976347
bert_cosine,single,0.6442497151771586
bert_cosine,few,-0.1931351658299446
bert_cosine,many,-0.0
bert_cosine,few+many,-0.0604152202255625
