pattern_id,predicate,sup,card_class,pr_quartile,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,starring,60547,few,Q4,0.1,0.1,0.4,0.1,0.1,0.4,1000
P1,starring,60547,few,Q3,0.1,0.1,0.7000000000000001,0.5,0.2,0.7000000000000001,1000
P1,starring,60547,few,Q2,0.0,0.0,0.7000000000000001,0.7000000000000001,0.3,0.5,1000
P1,starring,60547,few,Q1,0.1,0.2,0.8999999999999999,0.7000000000000001,0.2,1.0,1000
P1,starring,60547,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,2
P1,starring,60547,single,Q4,0.8,0.8999999999999999,1.0,0.8999999999999999,0.5,1.0,1000
P1,starring,60547,single,Q3,2.3,2.4,3.7,3.2,1.7999999999999998,3.0,1000
P1,starring,60547,single,Q2,2.7,2.7,4.2,3.8,1.3,3.4000000000000004,1000
P1,starring,60547,single,Q1,5.4,5.7,7.8,7.199999999999999,3.5999999999999996,7.1,1000
P10,narrator,1897,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,64
P10,narrator,1897,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,64
P10,narrator,1897,few,Q2,0.0,0.0,0.0,0.0,0.0,1.5625,64
P10,narrator,1897,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,62
P10,narrator,1897,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,2
P10,narrator,1897,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,2
P10,narrator,1897,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,2
P10,narrator,1897,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,2
P10,narrator,1897,single,Q4,0.8928571428571428,0.8928571428571428,1.3392857142857142,1.3392857142857142,0.8928571428571428,1.3392857142857142,224
P10,narrator,1897,single,Q3,3.125,3.125,4.017857142857143,3.571428571428571,1.3392857142857142,3.571428571428571,224
P10,narrator,1897,single,Q2,0.8928571428571428,0.8928571428571428,2.232142857142857,1.7857142857142856,0.4464285714285714,1.3392857142857142,224
P10,narrator,1897,single,Q1,4.524886877828054,4.524886877828054,6.334841628959276,5.429864253393665,3.167420814479638,5.429864253393665,221
P11,showJudge,886,few,Q4,0.0,0.0,3.7037037037037033,0.0,0.0,0.0,27
P11,showJudge,886,few,Q3,0.0,0.0,0.0,0.0,0.0,7.4074074074074066,27
P11,showJudge,886,few,Q2,0.0,0.0,3.7037037037037033,11.11111111111111,0.0,3.7037037037037033,27
P11,showJudge,886,few,Q1,0.0,0.0,0.0,0.0,0.0,4.0,25
P11,showJudge,886,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,single,Q4,3.4013605442176873,4.081632653061225,6.802721088435375,4.761904761904762,2.0408163265306123,4.081632653061225,147
P11,showJudge,886,single,Q3,6.122448979591836,6.802721088435375,10.20408163265306,9.523809523809524,6.802721088435375,8.843537414965986,147
P11,showJudge,886,single,Q2,8.843537414965986,8.843537414965986,12.244897959183673,10.884353741496598,8.16326530612245,10.20408163265306,147
P11,showJudge,886,single,Q1,6.802721088435375,6.802721088435375,9.523809523809524,8.843537414965986,4.761904761904762,10.884353741496598,147
P11,storyEditor,27,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,28
P11,storyEditor,27,many,Q3,0.0,0.0,3.571428571428571,0.0,0.0,3.571428571428571,28
P11,storyEditor,27,many,Q2,0.0,0.0,3.571428571428571,0.0,0.0,0.0,28
P11,storyEditor,27,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,26
P11,storyEditor,27,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,147
P11,storyEditor,27,single,Q3,1.3605442176870748,1.3605442176870748,2.0408163265306123,2.0408163265306123,1.3605442176870748,1.3605442176870748,147
P11,storyEditor,27,single,Q2,2.0408163265306123,2.0408163265306123,2.7210884353741496,2.7210884353741496,2.7210884353741496,2.7210884353741496,147
P11,storyEditor,27,single,Q1,0.6802721088435374,0.6802721088435374,2.7210884353741496,1.3605442176870748,1.3605442176870748,2.0408163265306123,147
P12,creativeDirector,192,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,4
P12,creativeDirector,192,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,4
P12,creativeDirector,192,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,4
P12,creativeDirector,192,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,4
P12,creativeDirector,192,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P12,creativeDirector,192,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,13
P12,creativeDirector,192,single,Q3,0.0,0.0,0.0,0.0,0.0,0.0,13
P12,creativeDirector,192,single,Q2,7.6923076923076925,7.6923076923076925,7.6923076923076925,7.6923076923076925,0.0,7.6923076923076925,13
P12,creativeDirector,192,single,Q1,0.0,0.0,0.0,0.0,0.0,0.0,13
P2,director,8321,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,355
P2,director,8321,few,Q3,0.0,0.2816901408450704,0.2816901408450704,0.2816901408450704,0.2816901408450704,0.2816901408450704,355
P2,director,8321,few,Q2,0.0,0.0,0.5633802816901409,0.0,0.0,0.5633802816901409,355
P2,director,8321,few,Q1,0.0,0.0,0.0,0.2824858757062147,0.0,0.2824858757062147,354
P2,director,8321,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,2
P2,director,8321,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,2
P2,director,8321,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,director,8321,single,Q4,1.2315270935960592,1.477832512315271,1.9704433497536944,1.7241379310344829,1.2315270935960592,1.7241379310344829,406
P2,director,8321,single,Q3,0.4926108374384236,0.4926108374384236,0.9852216748768472,0.4926108374384236,0.2463054187192118,0.4926108374384236,406
P2,director,8321,single,Q2,1.2315270935960592,1.2315270935960592,1.7241379310344829,1.7241379310344829,0.7389162561576355,1.477832512315271,406
P2,director,8321,single,Q1,1.2345679012345678,1.4814814814814816,2.9629629629629632,2.4691358024691357,1.4814814814814816,1.9753086419753083,405
P3,executiveProducer,7193,few,Q4,0.0,0.0,0.3311258278145695,0.0,0.0,0.3311258278145695,302
P3,executiveProducer,7193,few,Q3,0.0,0.0,1.3245033112582782,0.3311258278145695,0.3311258278145695,0.6622516556291391,302
P3,executiveProducer,7193,few,Q2,0.0,0.0,0.3311258278145695,0.9933774834437088,0.3311258278145695,0.6622516556291391,302
P3,executiveProducer,7193,few,Q1,0.0,0.0,1.6611295681063123,1.32890365448505,0.9966777408637874,1.9933554817275747,301
P3,executiveProducer,7193,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P3,executiveProducer,7193,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P3,executiveProducer,7193,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P3,executiveProducer,7193,single,Q4,2.4752475247524752,2.4752475247524752,2.9702970297029703,2.4752475247524752,0.7425742574257426,2.4752475247524752,404
P3,executiveProducer,7193,single,Q3,3.96039603960396,3.96039603960396,5.198019801980198,4.207920792079208,2.4752475247524752,4.207920792079208,404
P3,executiveProducer,7193,single,Q2,4.455445544554455,4.702970297029703,7.920792079207921,6.188118811881188,1.7326732673267329,7.673267326732673,404
P3,executiveProducer,7193,single,Q1,7.920792079207921,8.415841584158416,11.633663366336634,9.9009900990099,2.722772277227723,10.396039603960396,404
P4,presenter,6955,few,Q4,0.0,0.0,0.641025641025641,0.641025641025641,0.3205128205128205,1.282051282051282,312
P4,presenter,6955,few,Q3,0.0,0.0,1.9230769230769231,2.2435897435897436,0.641025641025641,0.9615384615384616,312
P4,presenter,6955,few,Q2,0.0,0.0,1.9230769230769231,0.641025641025641,0.3205128205128205,0.9615384615384616,312
P4,presenter,6955,few,Q1,0.6451612903225806,0.6451612903225806,2.5806451612903225,1.935483870967742,0.967741935483871,3.870967741935484,310
P4,presenter,6955,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,3
P4,presenter,6955,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,3
P4,presenter,6955,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,3
P4,presenter,6955,single,Q4,3.597122302158273,4.028776978417266,4.892086330935252,4.748201438848921,2.158273381294964,4.460431654676259,695
P4,presenter,6955,single,Q3,4.60431654676259,5.323741007194244,5.611510791366906,5.179856115107913,2.302158273381295,5.467625899280575,695
P4,presenter,6955,single,Q2,6.618705035971223,6.906474820143885,8.633093525179856,7.482014388489208,3.3093525179856114,8.057553956834532,695
P4,presenter,6955,single,Q1,5.0359712230215825,5.611510791366906,7.482014388489208,6.18705035971223,4.028776978417266,6.474820143884892,695
P5,creator,6755,few,Q4,0.0,0.0,1.8382352941176472,0.7352941176470588,0.0,0.3676470588235294,272
P5,creator,6755,few,Q3,0.7352941176470588,0.7352941176470588,3.308823529411765,2.5735294117647056,1.4705882352941175,2.2058823529411766,272
P5,creator,6755,few,Q2,0.0,0.3676470588235294,2.5735294117647056,1.8382352941176472,0.7352941176470588,1.4705882352941175,272
P5,creator,6755,few,Q1,0.3676470588235294,0.3676470588235294,2.2058823529411766,2.941176470588235,0.3676470588235294,5.514705882352941,272
P5,creator,6755,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P5,creator,6755,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P5,creator,6755,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
