pattern_id,predicate,sup,card_class,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,starring,60547,few,0.0,0.0,0.1,0.1,0.0,0.05,4000
P1,starring,60547,many,0.0,0.0,0.0,0.0,0.0,0.0,11
P1,starring,60547,single,1.3,1.55,2.125,2.0500000000000003,0.7000000000000001,2.025,4000
P10,narrator,1897,few,0.0,0.0,0.0,0.0,0.0,0.0,254
P10,narrator,1897,many,0.0,0.0,0.0,0.0,0.0,0.0,8
P10,narrator,1897,single,0.6718924972004479,0.7838745800671892,0.8958566629339306,1.2318029115341544,0.1119820828667413,0.8958566629339306,893
P11,showJudge,886,few,0.0,0.0,4.716981132075472,1.8867924528301887,0.0,1.8867924528301887,106
P11,showJudge,886,many,0.0,0.0,0.0,0.0,0.0,0.0,4
P11,showJudge,886,single,1.3605442176870748,2.380952380952381,4.2517006802721085,3.571428571428571,1.020408163265306,3.571428571428571,588
P11,storyEditor,27,many,0.0,0.0,0.0,0.0,0.0,0.0,110
P11,storyEditor,27,single,0.3401360544217687,0.3401360544217687,0.5102040816326531,0.8503401360544218,0.3401360544217687,0.5102040816326531,588
P12,creativeDirector,192,few,0.0,0.0,0.0,0.0,0.0,0.0,16
P12,creativeDirector,192,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P12,creativeDirector,192,single,0.0,0.0,0.0,0.0,0.0,0.0,52
P2,director,8321,few,0.0,0.0,0.0,0.0704721634954193,0.0,0.0,1419
P2,director,8321,many,0.0,0.0,0.0,0.0,0.0,0.0,5
P2,director,8321,single,0.4929143561306223,0.4929143561306223,0.6161429451632778,0.5545286506469501,0.1848428835489833,0.5545286506469501,1623
P3,executiveProducer,7193,few,0.0,0.0828500414250207,0.1657000828500414,0.1657000828500414,0.1657000828500414,0.2485501242750621,1207
P3,executiveProducer,7193,many,0.0,0.0,0.0,0.0,0.0,0.0,3
P3,executiveProducer,7193,single,2.3514851485148514,3.155940594059406,3.4034653465346536,3.96039603960396,0.9282178217821782,3.96039603960396,1616
P4,presenter,6955,few,0.0,0.0,0.4815409309791332,0.2407704654895666,0.0,0.3210272873194221,1246
P4,presenter,6955,many,0.0,0.0,0.0,0.0,0.0,0.0,9
P4,presenter,6955,single,1.6906474820143884,2.302158273381295,2.9496402877697845,2.877697841726619,0.8273381294964028,2.841726618705036,2780
P5,creator,6755,few,0.0,0.2757352941176471,0.9191176470588236,0.9191176470588236,0.1838235294117647,1.2867647058823528,1088
P5,creator,6755,many,0.0,0.0,0.0,0.0,0.0,0.0,4
P5,creator,6755,single,2.163355408388521,2.7373068432671084,3.7527593818984544,3.8410596026490063,1.3686534216335542,4.194260485651214,2265
P6,voice,6364,few,0.0,0.0,0.219298245614035,0.0,0.0,0.0,912
P6,voice,6364,many,0.0,0.0,0.0,0.0,0.0,0.0,2
P6,voice,6364,single,0.5242463958060288,0.9174311926605504,0.8519003931847969,0.982961992136304,0.2621231979030144,1.0484927916120577,1526
P7,producer,4764,few,0.0,0.0,0.0,0.2624671916010498,0.0,0.0,762
P7,producer,4764,many,0.0,0.0,0.0,0.0,0.0,0.0,6
P7,producer,4764,single,0.6440281030444965,0.936768149882904,1.4637002341920375,1.2295081967213115,0.468384074941452,1.288056206088993,1708
P8,author,4612,few,0.0,0.0,0.116822429906542,0.0,0.0,0.0,856
P8,author,4612,many,0.0,0.0,0.0,0.0,0.0,0.0,9
P8,author,4612,single,0.8479067302596714,1.1128775834658189,1.5368309485956544,1.5898251192368835,0.7419183889772125,1.377848436671966,1887
P9,composer,2771,few,0.0,0.0,0.2392344497607655,0.0,0.0,0.0,418
P9,composer,2771,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P9,composer,2771,single,0.6472491909385114,1.779935275080906,1.4563106796116505,1.6181229773462782,0.4854368932038834,1.9417475728155336,618
