pattern_id,predicate,sup,card_class,pr_quartile,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,starring,60547,few,Q4,0.0,0.0,0.1,0.1,0.0,0.1,1000
P1,starring,60547,few,Q3,0.0,0.0,0.1,0.1,0.0,0.0,1000
P1,starring,60547,few,Q2,0.0,0.0,0.0,0.1,0.0,0.0,1000
P1,starring,60547,few,Q1,0.0,0.0,0.2,0.1,0.0,0.1,1000
P1,starring,60547,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,2
P1,starring,60547,single,Q4,0.1,0.2,0.4,0.2,0.2,0.2,1000
P1,starring,60547,single,Q3,0.8999999999999999,1.1,1.4,1.5,0.6,1.2,1000
P1,starring,60547,single,Q2,1.3,1.6,2.3,2.1999999999999997,0.7000000000000001,2.1999999999999997,1000
P1,starring,60547,single,Q1,2.9000000000000004,3.3000000000000003,4.3999999999999995,4.3,1.3,4.5,1000
P10,narrator,1897,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,64
P10,narrator,1897,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,64
P10,narrator,1897,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,64
P10,narrator,1897,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,62
P10,narrator,1897,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,2
P10,narrator,1897,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,2
P10,narrator,1897,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,2
P10,narrator,1897,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,2
P10,narrator,1897,single,Q4,0.0,0.0,0.0,0.8928571428571428,0.0,0.0,224
P10,narrator,1897,single,Q3,0.4464285714285714,0.4464285714285714,0.4464285714285714,0.4464285714285714,0.0,0.4464285714285714,224
P10,narrator,1897,single,Q2,0.8928571428571428,0.8928571428571428,1.7857142857142856,1.7857142857142856,0.0,1.3392857142857142,224
P10,narrator,1897,single,Q1,1.3574660633484164,1.809954751131222,1.3574660633484164,1.809954751131222,0.4524886877828055,1.809954751131222,221
P11,showJudge,886,few,Q4,0.0,0.0,3.7037037037037033,3.7037037037037033,0.0,3.7037037037037033,27
P11,showJudge,886,few,Q3,0.0,0.0,7.4074074074074066,3.7037037037037033,0.0,3.7037037037037033,27
P11,showJudge,886,few,Q2,0.0,0.0,3.7037037037037033,0.0,0.0,0.0,27
P11,showJudge,886,few,Q1,0.0,0.0,4.0,0.0,0.0,0.0,25
P11,showJudge,886,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,single,Q4,1.3605442176870748,1.3605442176870748,3.4013605442176873,2.0408163265306123,0.0,2.7210884353741496,147
P11,showJudge,886,single,Q3,0.6802721088435374,2.0408163265306123,4.081632653061225,4.761904761904762,1.3605442176870748,2.7210884353741496,147
P11,showJudge,886,single,Q2,2.0408163265306123,2.7210884353741496,4.081632653061225,4.081632653061225,2.0408163265306123,4.081632653061225,147
P11,showJudge,886,single,Q1,1.3605442176870748,3.4013605442176873,5.442176870748299,3.4013605442176873,0.6802721088435374,4.761904761904762,147
P11,storyEditor,27,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,28
P11,storyEditor,27,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,28
P11,storyEditor,27,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,28
P11,storyEditor,27,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,26
P11,storyEditor,27,single,Q4,0.6802721088435374,0.6802721088435374,0.6802721088435374,0.6802721088435374,0.0,0.6802721088435374,147
P11,storyEditor,27,single,Q3,0.0,0.0,0.0,0.6802721088435374,0.0,0.0,147
P11,storyEditor,27,single,Q2,0.6802721088435374,0.6802721088435374,1.3605442176870748,2.0408163265306123,1.3605442176870748,1.3605442176870748,147
P11,storyEditor,27,single,Q1,0.0,0.0,0.0,0.0,0.0,0.0,147
P12,creativeDirector,192,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,4
P12,creativeDirector,192,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,4
P12,creativeDirector,192,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,4
P12,creativeDirector,192,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,4
P12,creativeDirector,192,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P12,creativeDirector,192,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,13
P12,creativeDirector,192,single,Q3,0.0,0.0,0.0,0.0,0.0,0.0,13
P12,creativeDirector,192,single,Q2,0.0,0.0,0.0,0.0,0.0,0.0,13
P12,creativeDirector,192,single,Q1,0.0,0.0,0.0,0.0,0.0,0.0,13
P2,director,8321,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,355
P2,director,8321,few,Q3,0.0,0.0,0.0,0.2816901408450704,0.0,0.0,355
P2,director,8321,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,355
P2,director,8321,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,354
P2,director,8321,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,2
P2,director,8321,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,2
