pattern_id,predicate,sup,card_class,pr_quartile,question,answer
P1,starring,60547,single,Q1,What television show did Reg Livermore star in?,The Mavis Bramston Show
P1,starring,60547,single,Q1,What television show did Patrick Lodiers star in?,De Lama's
P1,starring,60547,single,Q1,What television show did Vishka Asayesh star in?,Shaheed-e-Kufa
P1,starring,60547,single,Q1,What television show did Rebekah Elmaloglou star in?,Pacific Drive
P1,starring,60547,single,Q1,What television show did Ivana Palezevic star in?,The Killian Curse
P1,starring,60547,single,Q1,What television show did Yvonne Lime star in?,Happy (1960 TV series)
P1,starring,60547,single,Q1,What television show did Ernest Waddell star in?,The Bedford Diaries
P1,starring,60547,single,Q1,What television show did Renai Caruso star in?,Satisfaction (Australian TV series)
P1,starring,60547,single,Q1,What television show did John Malcolm (actor) star in?,Enemy at the Door
P1,starring,60547,single,Q1,What television show did Dan Woren star in?,The New Adventures of Speed Racer
P1,starring,60547,single,Q1,What television show did Marta Hazas star in?,El Internado
P1,starring,60547,single,Q1,What television show did M. Cherif Bassiouni star in?,Muhammad: Legacy of a Prophet
P1,starring,60547,single,Q1,What television show did Larry Keith star in?,The Baxters
P1,starring,60547,single,Q1,What television show did Gale Hansen star in?,Class of '96
P1,starring,60547,single,Q1,What television show did Claus Theo Gärtner star in?,Ein Fall für zwei
P1,starring,60547,single,Q1,What television show did Johnny Shannon star in?,Beryl's Lot
P1,starring,60547,single,Q1,What television show did Angela Dotchin star in?,Jack of All Trades (TV series)
P1,starring,60547,single,Q1,What television show did Bettany Hughes star in?,The Spartans (documentary)
P1,starring,60547,single,Q1,What television show did Ashley Knight star in?,Treasure Island (1977 miniseries)
P1,starring,60547,single,Q1,What television show did Gabriel Dell star in?,The Corner Bar
P1,starring,60547,single,Q1,What television show did Pauline Moran star in?,Agatha Christie's Poirot
P1,starring,60547,single,Q1,What television show did Thom Christopher star in?,Buck Rogers in the 25th Century (TV series)
P1,starring,60547,single,Q1,What television show did Ricky Grover star in?,Getting On (UK TV series)
P1,starring,60547,single,Q1,What television show did Maya Ritter star in?,Molly: An American Girl on the Home Front
P1,starring,60547,single,Q1,What television show did John Harvey (American actor) star in?,The Growing Paynes
P1,starring,60547,single,Q1,What television show did Blair Venn star in?,Head Start (TV series)
P1,starring,60547,single,Q1,What television show did Barbara Britton star in?,Mr. and Mrs. North
P1,starring,60547,single,Q1,What television show did Susan Fleetwood star in?,The Buddha of Suburbia (TV serial)
P1,starring,60547,single,Q1,What television show did Campbell Morrison star in?,Eldorado (TV series)
P1,starring,60547,single,Q1,What television show did Adrian Franklin star in?,Collectors (TV series)
P1,starring,60547,single,Q1,What television show did Emma Cleasby star in?,55 Degrees North
P1,starring,60547,single,Q1,What television show did Branimir Brstina star in?,Vuk Karadžić (TV series)
P1,starring,60547,single,Q1,What television show did Shane Haboucha star in?,Stephen King's Desperation (film)
P1,starring,60547,single,Q1,What television show did Chris Connelly (journalist) star in?,Unscripted with Chris Connelly
P1,starring,60547,single,Q1,What television show did Phil Keating star in?,Geraldo at Large
P1,starring,60547,single,Q1,What television show did Ichirō Kojima star in?,National Kid
P1,starring,60547,single,Q1,What television show did Yoon Son-ha star in?,Fighting Girl
P1,starring,60547,single,Q1,What television show did Mario Yedidia star in?,Under Wraps (film)
P1,starring,60547,single,Q1,What television show did Chris Duke star in?,Motorz TV
P1,starring,60547,single,Q1,What television show did Kevin Sites star in?,Expedition Africa
P1,starring,60547,single,Q1,What television show did Damien Garvey star in?,Answered by Fire
P1,starring,60547,single,Q1,What television show did Ferenc Zenthe star in?,Szomszédok
P1,starring,60547,single,Q1,What television show did Aneta Zając star in?,Soupy Norman
P1,starring,60547,single,Q1,What television show did Rajeev Verma star in?,Aashiq Biwi Ka
P1,starring,60547,single,Q1,What television show did Richard Hurndall star in?,Spindoe
P1,starring,60547,single,Q1,What television show did Hayden Black star in?,Goodnight Burbank
P1,starring,60547,single,Q1,What television show did Jonty Heaversedge star in?,Street Doctor
P1,starring,60547,single,Q1,What television show did J. D. Daniels star in?,Going Places (U.S. TV series)
P1,starring,60547,single,Q1,What television show did Alethea Charlton star in?,Sam (1973 TV series)
P1,starring,60547,single,Q1,What television show did Stephanie Parker star in?,Belonging (TV series)
P1,starring,60547,single,Q1,What television show did Russ Conway (actor) star in?,"Richard Diamond, Private Detective"
P1,starring,60547,single,Q1,What television show did Dick Kallman star in?,Hank (1965 TV series)
P1,starring,60547,single,Q1,What television show did Jonathan Baker (contestant) star in?,Kill Reality
P1,starring,60547,single,Q1,What television show did Drake Hogestyn star in?,Seven Brides for Seven Brothers (TV series)
P1,starring,60547,single,Q1,What television show did Geoff Jansz star in?,Burke's Backyard
P1,starring,60547,single,Q1,What television show did Maryla Rodowicz star in?,Rodzina zastępcza
P1,starring,60547,single,Q1,What television show did Doris Dowling star in?,My Living Doll
P1,starring,60547,single,Q1,What television show did Suzanne Davis (actress) star in?,"Malibu, CA (TV series)"
P1,starring,60547,single,Q1,What television show did Hole in the Wall Gang (comedy) star in?,Dry Your Eyes (TV series)
P1,starring,60547,single,Q1,What television show did Marino Masé star in?,Jericho (1966 TV series)
P1,starring,60547,single,Q1,What television show did Mark Dailey star in?,The Ripping Friends
P1,starring,60547,single,Q1,What television show did Carl Gordon (actor) star in?,Roc (TV series)
P1,starring,60547,single,Q1,What television show did Michael Colgan (actor) star in?,Raw (TV series)
P1,starring,60547,single,Q1,What television show did Laura Brown (fashion journalist) star in?,The Fashion Show (U.S. TV series)
P1,starring,60547,single,Q1,What television show did Robert Desmond star in?,Compact (TV series)
P1,starring,60547,single,Q1,What television show did Judith Barker star in?,Scully (TV series)
P1,starring,60547,single,Q1,What television show did Lisa Dillon star in?,Hawking (2004 film)
P1,starring,60547,single,Q1,What television show did William Sylvester star in?,Gemini Man
P1,starring,60547,single,Q1,What television show did Dimitri Alekseyevich Isayev star in?,Poor Nastya
P1,starring,60547,single,Q1,What television show did Susan Richardson star in?,Eight Is Enough
P1,starring,60547,single,Q1,What television show did Mary Moody star in?,The Catch-Up
P1,starring,60547,single,Q1,What television show did Malcolm Sinclair star in?,Pie in the Sky (TV series)
P1,starring,60547,single,Q1,What television show did Vesa Vierikko star in?,Hobitit
P1,starring,60547,single,Q1,What television show did Janet Varney star in?,Best Player
P1,starring,60547,single,Q1,What television show did Jack Carpenter (actor) star in?,Lipshitz Saves the World
P1,starring,60547,single,Q1,What television show did Carol Lee Scott star in?,Grotbags
P1,starring,60547,single,Q1,What television show did Gordon Currie star in?,Code Name: Eternity
P1,starring,60547,single,Q1,What television show did Katie Linendoll star in?,We Mean Business
P1,starring,60547,single,Q1,What television show did Michael Landsberg star in?,Off the Record with Michael Landsberg
P1,starring,60547,single,Q1,What television show did Saffron Coomber star in?,Runaway (TV serial)
P1,starring,60547,single,Q1,What television show did Shagufta Ali star in?,Dishayen
P1,starring,60547,single,Q1,What television show did Manchán Magan star in?,No Béarla
P1,starring,60547,single,Q1,What television show did Kym Wilson star in?,Brides of Christ
P1,starring,60547,single,Q1,What television show did Luz María Zetina star in?,S.O.S.: Sexo y otros Secretos
P1,starring,60547,single,Q1,What television show did Mel Campbell star in?,Ghost (2008 TV series)
P1,starring,60547,single,Q1,What television show did Ruben Meerman star in?,Rollercoaster (TV series)
P1,starring,60547,single,Q1,What television show did Jessica Leccia star in?,Venice: The Series
P1,starring,60547,single,Q1,What television show did Akram Mohammadi star in?,Man of Many Faces (TV series)
P1,starring,60547,single,Q1,What television show did Jonathon Dutton star in?,The Kylie Show
P1,starring,60547,single,Q1,What television show did Ron White (actor) star in?,The Line (TV series)
P1,starring,60547,single,Q1,What television show did Anna Raeburn star in?,Mum's on Strike
P1,starring,60547,single,Q1,What television show did Stan Saanila star in?,Uutisvuoto
P1,starring,60547,single,Q1,What television show did Sloboda Mićalović star in?,Ranjeni orao (TV series)
P1,starring,60547,single,Q1,What television show did Mikael Samuelson star in?,Rederiet
P1,starring,60547,single,Q1,What television show did Bill Weber star in?,RPM 2Night
P1,starring,60547,single,Q1,What television show did Christian Kohlund star in?,Bony (TV series)
P1,starring,60547,single,Q1,What television show did Jay Garner (actor) star in?,Buck Rogers in the 25th Century (TV series)
P1,starring,60547,single,Q1,What television show did Kim Winona star in?,Brave Eagle
P1,starring,60547,single,Q1,What television show did Peter Van Den Begin star in?,Russian Dolls: Sex Trade
P1,starring,60547,single,Q1,What television show did Ulla Strömstedt star in?,Flipper (1964 TV series)
P1,starring,60547,single,Q1,What television show did Emma Ferguson star in?,The Brides in the Bath
P1,starring,60547,single,Q1,What television show did Thomas Wansey star in?,Ace Lightning
P1,starring,60547,single,Q1,What television show did Kirsten Gronfield star in?,10 Items or Less (TV series)
P1,starring,60547,single,Q1,What television show did Maria Lopez star in?,Judge Maria Lopez
P1,starring,60547,single,Q1,What television show did Susan Loughnane star in?,Love/Hate (TV series)
P1,starring,60547,single,Q1,What television show did Ivor Francis star in?,Dusty's Trail
P1,starring,60547,single,Q1,What television show did Jason Torrens star in?,Pugwall
P1,starring,60547,single,Q1,What television show did Paul Loughran star in?,Blue Murder (UK TV series)
P1,starring,60547,single,Q1,What television show did Andrzej Grabarczyk (actor) star in?,Klan (TV series)
P1,starring,60547,single,Q1,What television show did Ken Hudson Campbell star in?,Herman's Head
P1,starring,60547,single,Q1,What television show did Tantowi Yahya star in?,Deal Or No Deal Indonesia
P1,starring,60547,single,Q1,What television show did Majella Murphy star in?,The Raw Sessions
