predicate,freq,Cardinality Class,PR_quartile,n_ow,OW accuracy,OW hallucination,OW unsure,n_sw,SW accuracy,SW hallucination,SW unsure,n_total,Total accuracy,Total hallucination,Total unsure
author,4612,few,Q4,214,0.0,97.66,2.34,200,1.0,96.0,3.0,414,0.48,96.86,2.66
author,4612,few,Q3,214,0.0,98.6,1.4,200,0.0,95.0,5.0,414,0.0,96.86,3.14
author,4612,few,Q2,214,0.47,98.6,0.93,200,2.5,89.5,8.0,414,1.45,94.2,4.35
author,4612,few,Q1,214,1.4,97.66,0.93,198,5.05,92.42,2.53,412,3.16,95.15,1.7
author,4612,many,Q4,3,0.0,100.0,0.0,1,0.0,100.0,0.0,4,0.0,100.0,0.0
author,4612,many,Q3,3,0.0,100.0,0.0,1,0.0,100.0,0.0,4,0.0,100.0,0.0
author,4612,many,Q2,3,0.0,100.0,0.0,1,0.0,0.0,100.0,4,0.0,75.0,25.0
author,4612,many,Q1,0,0.0,0.0,0.0,1,0.0,100.0,0.0,1,0.0,100.0,0.0
author,4612,single,Q4,472,1.06,97.03,1.91,616,3.25,86.36,10.39,1088,2.3,90.99,6.71
author,4612,single,Q3,472,0.64,97.46,1.91,616,1.95,87.18,10.88,1088,1.38,91.64,6.99
author,4612,single,Q2,472,1.48,96.4,2.12,616,3.73,87.5,8.77,1088,2.76,91.36,5.88
author,4612,single,Q1,471,2.55,96.18,1.27,614,5.05,84.53,10.42,1085,3.96,89.59,6.45
composer,2771,few,Q4,105,0.0,99.05,0.95,66,1.52,95.45,3.03,171,0.58,97.66,1.75
composer,2771,few,Q3,105,0.0,100.0,0.0,66,0.0,96.97,3.03,171,0.0,98.83,1.17
composer,2771,few,Q2,105,0.0,99.05,0.95,66,0.0,98.48,1.52,171,0.0,98.83,1.17
composer,2771,few,Q1,103,0.97,98.06,0.97,65,1.54,95.38,3.08,168,1.19,97.02,1.79
composer,2771,many,Q4,1,0.0,100.0,0.0,1,0.0,100.0,0.0,2,0.0,100.0,0.0
composer,2771,many,Q3,0,0.0,0.0,0.0,1,0.0,100.0,0.0,1,0.0,100.0,0.0
composer,2771,single,Q4,155,0.0,100.0,0.0,538,0.19,94.42,5.39,693,0.14,95.67,4.18
composer,2771,single,Q3,155,1.94,98.06,0.0,538,0.93,88.66,10.41,693,1.15,90.76,8.08
composer,2771,single,Q2,155,0.65,99.35,0.0,538,1.67,91.64,6.69,693,1.44,93.36,5.19
composer,2771,single,Q1,153,5.23,93.46,1.31,536,4.66,90.3,5.04,689,4.79,91.0,4.21
creativeDirector,192,few,Q4,4,0.0,100.0,0.0,3,0.0,100.0,0.0,7,0.0,100.0,0.0
creativeDirector,192,few,Q3,4,0.0,100.0,0.0,3,0.0,100.0,0.0,7,0.0,100.0,0.0
creativeDirector,192,few,Q2,4,0.0,100.0,0.0,3,0.0,100.0,0.0,7,0.0,100.0,0.0
creativeDirector,192,few,Q1,4,0.0,100.0,0.0,0,0.0,0.0,0.0,4,0.0,100.0,0.0
