predicate,freq,Cardinality Class,PR_quartile,n_ow,OW accuracy,OW hallucination,OW unsure,n_sw,SW accuracy,SW hallucination,SW unsure,n_total,Total accuracy,Total hallucination,Total unsure
author,4612,few,Q4,214,0.0,88.32,11.68,200,1.0,85.0,14.0,414,0.48,86.71,12.8
author,4612,few,Q3,214,0.0,89.72,10.28,200,1.0,81.0,18.0,414,0.48,85.51,14.01
author,4612,few,Q2,214,0.0,92.06,7.94,200,1.0,83.5,15.5,414,0.48,87.92,11.59
author,4612,few,Q1,214,1.4,92.52,6.07,198,2.02,90.91,7.07,412,1.7,91.75,6.55
author,4612,many,Q4,3,0.0,66.67,33.33,1,0.0,100.0,0.0,4,0.0,75.0,25.0
author,4612,many,Q3,3,0.0,66.67,33.33,1,0.0,0.0,100.0,4,0.0,50.0,50.0
author,4612,many,Q2,3,0.0,100.0,0.0,1,0.0,100.0,0.0,4,0.0,100.0,0.0
author,4612,many,Q1,0,0.0,0.0,0.0,1,0.0,100.0,0.0,1,0.0,100.0,0.0
author,4612,single,Q4,472,0.85,90.89,8.26,616,2.76,86.85,10.39,1088,1.93,88.6,9.47
author,4612,single,Q3,472,0.42,91.53,8.05,616,2.27,87.01,10.71,1088,1.47,88.97,9.56
author,4612,single,Q2,472,2.12,90.47,7.42,616,4.38,86.04,9.58,1088,3.4,87.96,8.64
author,4612,single,Q1,471,2.97,91.3,5.73,614,6.03,85.02,8.96,1085,4.7,87.74,7.56
composer,2771,few,Q4,105,0.0,83.81,16.19,66,0.0,78.79,21.21,171,0.0,81.87,18.13
composer,2771,few,Q3,105,0.95,84.76,14.29,66,0.0,80.3,19.7,171,0.58,83.04,16.37
composer,2771,few,Q2,105,0.0,88.57,11.43,66,0.0,90.91,9.09,171,0.0,89.47,10.53
composer,2771,few,Q1,103,0.0,91.26,8.74,65,1.54,89.23,9.23,168,0.6,90.48,8.93
composer,2771,many,Q4,1,0.0,100.0,0.0,1,0.0,100.0,0.0,2,0.0,100.0,0.0
composer,2771,many,Q3,0,0.0,0.0,0.0,1,0.0,100.0,0.0,1,0.0,100.0,0.0
composer,2771,single,Q4,155,0.0,90.32,9.68,538,1.12,82.9,15.99,693,0.87,84.56,14.57
composer,2771,single,Q3,155,0.65,89.68,9.68,538,0.19,81.97,17.84,693,0.29,83.69,16.02
composer,2771,single,Q2,155,1.94,90.97,7.1,538,0.37,85.13,14.5,693,0.72,86.44,12.84
composer,2771,single,Q1,153,3.27,90.85,5.88,536,2.05,88.25,9.7,689,2.32,88.82,8.85
creativeDirector,192,few,Q4,4,0.0,100.0,0.0,3,0.0,66.67,33.33,7,0.0,85.71,14.29
creativeDirector,192,few,Q3,4,0.0,100.0,0.0,3,0.0,100.0,0.0,7,0.0,100.0,0.0
creativeDirector,192,few,Q2,4,0.0,75.0,25.0,3,0.0,33.33,66.67,7,0.0,57.14,42.86
creativeDirector,192,few,Q1,4,0.0,100.0,0.0,0,0.0,0.0,0.0,4,0.0,100.0,0.0
creativeDirector,192,many,Q4,1,0.0,100.0,0.0,1,0.0,0.0,100.0,2,0.0,50.0,50.0
creativeDirector,192,single,Q4,13,7.69,92.31,0.0,43,2.33,81.4,16.28,56,3.57,83.93,12.5
creativeDirector,192,single,Q3,13,0.0,100.0,0.0,43,0.0,81.4,18.6,56,0.0,85.71,14.29
creativeDirector,192,single,Q2,13,15.38,76.92,7.69,43,0.0,83.72,16.28,56,3.57,82.14,14.29
creativeDirector,192,single,Q1,13,0.0,92.31,7.69,40,0.0,80.0,20.0,53,0.0,83.02,16.98
creator,6755,few,Q4,272,0.0,91.54,8.46,272,3.68,88.24,8.09,544,1.84,89.89,8.27
creator,6755,few,Q3,272,1.84,93.38,4.78,272,1.84,82.72,15.44,544,1.84,88.05,10.11
creator,6755,few,Q2,272,2.57,90.44,6.99,272,5.15,86.76,8.09,544,3.86,88.6,7.54
