predicate,freq,Cardinality Class,PR_quartile,n_ow,OW accuracy,OW hallucination,OW unsure,n_sw,SW accuracy,SW hallucination,SW unsure,n_total,Total accuracy,Total hallucination,Total unsure
author,4612,few,Q4,214,0.0,90.65,9.35,200,0.5,85.5,14.0,414,0.24,88.16,11.59
author,4612,few,Q3,214,0.0,92.99,7.01,200,0.0,82.5,17.5,414,0.0,87.92,12.08
author,4612,few,Q2,214,0.0,96.73,3.27,200,1.0,83.5,15.5,414,0.48,90.34,9.18
author,4612,few,Q1,214,0.0,96.26,3.74,198,3.03,83.84,13.13,412,1.46,90.29,8.25
author,4612,many,Q4,3,0.0,100.0,0.0,1,0.0,100.0,0.0,4,0.0,100.0,0.0
author,4612,many,Q3,3,0.0,100.0,0.0,1,0.0,100.0,0.0,4,0.0,100.0,0.0
author,4612,many,Q2,3,0.0,66.67,33.33,1,0.0,100.0,0.0,4,0.0,75.0,25.0
author,4612,many,Q1,0,0.0,0.0,0.0,1,0.0,100.0,0.0,1,0.0,100.0,0.0
author,4612,single,Q4,472,0.85,91.1,8.05,616,1.95,77.92,20.13,1088,1.47,83.64,14.89
author,4612,single,Q3,472,0.64,92.58,6.78,616,1.3,76.46,22.24,1088,1.01,83.46,15.53
author,4612,single,Q2,472,1.27,91.74,6.99,616,5.19,75.65,19.16,1088,3.49,82.63,13.88
author,4612,single,Q1,471,2.76,92.14,5.1,614,4.4,77.85,17.75,1085,3.69,84.06,12.26
composer,2771,few,Q4,105,0.0,98.1,1.9,66,0.0,84.85,15.15,171,0.0,92.98,7.02
composer,2771,few,Q3,105,0.0,97.14,2.86,66,0.0,93.94,6.06,171,0.0,95.91,4.09
composer,2771,few,Q2,105,0.0,97.14,2.86,66,0.0,84.85,15.15,171,0.0,92.4,7.6
composer,2771,few,Q1,103,0.0,98.06,1.94,65,1.54,87.69,10.77,168,0.6,94.05,5.36
composer,2771,many,Q4,1,0.0,100.0,0.0,1,0.0,100.0,0.0,2,0.0,100.0,0.0
composer,2771,many,Q3,0,0.0,0.0,0.0,1,0.0,100.0,0.0,1,0.0,100.0,0.0
composer,2771,single,Q4,155,0.65,92.9,6.45,538,0.93,78.44,20.63,693,0.87,81.67,17.46
composer,2771,single,Q3,155,0.65,87.1,12.26,538,0.56,80.48,18.96,693,0.58,81.96,17.46
composer,2771,single,Q2,155,1.29,90.97,7.74,538,0.93,78.07,21.0,693,1.01,80.95,18.04
